
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Date: Sun Jul  2 21:10:16 UTC 2017
Data Source: https://onionoo.torproject.org

CONSENSUS WEIGHT FRACTION BY TOR VERSION

VERS (count)           CONSENSUS_WEIGHT_FRAC
=====================  ========================================================
0.2.9.11 (1468)        24.2%
0.2.9.10 (1230)        20.6%
0.3.0.8 (664)          13.6%
0.2.7.6 (797)          6.8%
0.3.0.7 (267)          6.1%
0.2.5.12 (530)         5.4%
0.2.9.9 (266)          4.1%
0.2.8.9 (170)          3.8%
0.2.5.14 (464)         3.4%
0.2.4.27 (323)         2.5%
0.2.6.10 (149)         2.3%
0.3.1.3-alpha (38)     0.8%
0.2.8.10 (18)          0.7%
0.2.8.12 (55)          0.6%
0.3.0.3-alpha (8)      0.5%
0.3.2.0-alpha-dev (8)  0.5%
0.2.9.8 (65)           0.4%
0.3.0.2-alpha (13)     0.4%
0.3.0.1-alpha (14)     0.4%
0.2.8.11 (35)          0.3%
0.2.8.14 (8)           0.3%
0.2.4.29 (123)         0.3%
0.2.4.23 (114)         0.2%
0.3.0.6 (31)           0.2%
0.2.5.10 (18)          0.2%
0.3.0.5-rc (12)        0.2%
0.2.8.6 (13)           0.2%
0.2.8.7 (34)           0.1%
0.2.8.8 (27)           0.1%
0.2.8.13 (4)           0.1%
0.2.6.6 (4)            0.1%
0.2.4.24 (9)           0.1%
0.2.4.20 (11)          0.1%
0.2.4.26 (2)           0.0%
0.3.1.0-alpha-dev (3)  0.0%
0.3.1.2-alpha (6)      0.0%
0.2.7.5 (7)            0.0%
0.3.1.3-alpha-dev (2)  0.0%
0.2.9.8-dev (1)        0.0%
0.3.0.4-rc (5)         0.0%
0.2.4.22 (14)          0.0%
0.3.0.8-dev (2)        0.0%
0.2.6.0-alpha-dev (5)  0.0%
0.2.7.6-dev (1)        0.0%
0.2.6.9 (6)            0.0%
0.3.1.2-alpha-dev (8)  0.0%
0.3.0.7-dev (2)        0.0%
0.3.0.5 (1)            0.0%
0.2.5.8-rc (3)         0.0%
0.2.6.8 (3)            0.0%
0.2.4.21 (6)           0.0%
0.2.9.6-rc (2)         0.0%
0.2.7.2-alpha (1)      0.0%
0.2.9.9-dev (2)        0.0%
0.2.7.1-alpha (2)      0.0%
0.2.7.1-alpha-dev (1)  0.0%
0.2.9.5-alpha (3)      0.0%
0.2.8.10-dev (1)       0.0%
0.2.4.19 (3)           0.0%
0.2.9.10-dev (1)       0.0%
0.3.0.1-alpha-dev (1)  0.0%
0.2.7.4-rc (1)         0.0%
0.2.5.6-alpha (1)      0.0%
0.3.0.6-dev (1)        0.0%


Copyright (C) 2017 by Tor Diversity Project <tdp@torbsd.org>
All Rights Reserved.

Released under an ISC license; see the GitHub repository
for details at https://github.com/torbsd/tdp-onion-stats
