
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Date: Fri Jun 30 20:24:00 UTC 2017
Data Source: https://onionoo.torproject.org

RELAY COUNTS BY TOR VERSION

VERS (count)           COUNT
=====================  ========================================================
TOTAL (7087)           7087.0
0.2.9.11 (1468)        1468.0 (20.7%)
0.2.9.10 (1230)        1230.0 (17.4%)
0.2.7.6 (797)          797.0 (11.2%)
0.3.0.8 (664)          664.0 (9.4%)
0.2.5.12 (530)         530.0 (7.5%)
0.2.5.14 (464)         464.0 (6.5%)
0.2.4.27 (323)         323.0 (4.6%)
0.3.0.7 (267)          267.0 (3.8%)
0.2.9.9 (266)          266.0 (3.8%)
0.2.8.9 (170)          170.0 (2.4%)
0.2.6.10 (149)         149.0 (2.1%)
0.2.4.29 (123)         123.0 (1.7%)
0.2.4.23 (114)         114.0 (1.6%)
0.2.9.8 (65)           65.0 (0.9%)
0.2.8.12 (55)          55.0 (0.8%)
0.3.1.3-alpha (38)     38.0 (0.5%)
0.2.8.11 (35)          35.0 (0.5%)
0.2.8.7 (34)           34.0 (0.5%)
0.3.0.6 (31)           31.0 (0.4%)
0.2.8.8 (27)           27.0 (0.4%)
0.2.5.10 (18)          18.0 (0.3%)
0.2.8.10 (18)          18.0 (0.3%)
0.2.4.22 (14)          14.0 (0.2%)
0.3.0.1-alpha (14)     14.0 (0.2%)
0.3.0.2-alpha (13)     13.0 (0.2%)
0.2.8.6 (13)           13.0 (0.2%)
0.3.0.5-rc (12)        12.0 (0.2%)
0.2.4.20 (11)          11.0 (0.2%)
0.2.4.24 (9)           9.0 (0.1%)
0.3.0.3-alpha (8)      8.0 (0.1%)
0.3.2.0-alpha-dev (8)  8.0 (0.1%)
0.2.8.14 (8)           8.0 (0.1%)
0.3.1.2-alpha-dev (8)  8.0 (0.1%)
0.2.7.5 (7)            7.0 (0.1%)
0.3.1.2-alpha (6)      6.0 (0.1%)
0.2.6.9 (6)            6.0 (0.1%)
0.2.4.21 (6)           6.0 (0.1%)
0.2.6.0-alpha-dev (5)  5.0 (0.1%)
0.3.0.4-rc (5)         5.0 (0.1%)
0.2.8.13 (4)           4.0 (0.1%)
0.2.6.6 (4)            4.0 (0.1%)
0.3.1.0-alpha-dev (3)  3.0 (0.0%)
0.2.6.8 (3)            3.0 (0.0%)
0.2.5.8-rc (3)         3.0 (0.0%)
0.2.9.5-alpha (3)      3.0 (0.0%)
0.2.4.19 (3)           3.0 (0.0%)
0.3.0.7-dev (2)        2.0 (0.0%)
0.3.0.8-dev (2)        2.0 (0.0%)
0.2.9.6-rc (2)         2.0 (0.0%)
0.2.7.1-alpha (2)      2.0 (0.0%)
0.2.4.26 (2)           2.0 (0.0%)
0.2.9.9-dev (2)        2.0 (0.0%)
0.3.1.3-alpha-dev (2)  2.0 (0.0%)
0.2.9.10-dev (1)       1.0 (0.0%)
0.2.5.6-alpha (1)      1.0 (0.0%)
0.2.9.8-dev (1)        1.0 (0.0%)
0.3.0.1-alpha-dev (1)  1.0 (0.0%)
0.2.7.4-rc (1)         1.0 (0.0%)
0.2.7.2-alpha (1)      1.0 (0.0%)
0.2.7.6-dev (1)        1.0 (0.0%)
0.3.0.6-dev (1)        1.0 (0.0%)
0.3.0.5 (1)            1.0 (0.0%)
0.2.7.1-alpha-dev (1)  1.0 (0.0%)
0.2.8.10-dev (1)       1.0 (0.0%)


Copyright (C) 2017 by Tor Diversity Project <tdp@nycbug.org>
All Rights Reserved.

Released under an ISC license; see the GitHub repository
for details at https://github.com/torbsd/tdp-onion-stats
