
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:32 UTC 2018
Data Source: https://onionoo.torproject.org/details

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NAME

AS_NAME (records)                                        BANDWIDTH
Andrews & Arnold Ltd (2)                                 3453745 (0.0%)
RGnet, LLC (1)                                           3411158 (0.0%)
Ojsc oao Tattelecom (1)                                  3401823 (0.0%)
Fastweb (3)                                              3398897 (0.0%)
Solcon Internetdiensten B.V. (3)                         3375340 (0.0%)
Telecom.ru Ltd (1)                                       3324928 (0.0%)
Iteranet LLC (2)                                         3313642 (0.0%)
TELUS Communications Inc. (2)                            3297690 (0.0%)
Chaos Computer Club e.V. (1)                             3293002 (0.0%)
NET1 Ltd. (2)                                            3252165 (0.0%)
Cybersmart (1)                                           3246887 (0.0%)
[netzquadrat] GmbH (1)                                   3209137 (0.0%)
CentroNet a.s. (1)                                       3180888 (0.0%)
OOO MediaSeti (1)                                        3155204 (0.0%)
California Institute of Technology (1)                   3123804 (0.0%)
Xtra Telecom S.A. (2)                                    3090421 (0.0%)
Douglas FastNet (1)                                      3046774 (0.0%)
ESDS Software Solution Pvt. Ltd. (1)                     3035070 (0.0%)
Broadnet AS (1)                                          3025780 (0.0%)
Koumbit (1)                                              2998005 (0.0%)
PE Tetyana Mysyk (1)                                     2994706 (0.0%)
Tiscali UK Limited (5)                                   2994483 (0.0%)
C&S Breitband GmbH (1)                                   2991444 (0.0%)
Videotron Telecom Ltee (4)                               2970507 (0.0%)
Rethem Hosting LLC (1)                                   2949800 (0.0%)
Snel.com B.V. (1)                                        2944723 (0.0%)
Suomi Communications Oy (1)                              2941741 (0.0%)
Data Communication Business Group (5)                    2935821 (0.0%)
Spoldzielnia Telekomunikacyjna OST (2)                   2930764 (0.0%)
Sky UK Limited (6)                                       2880127 (0.0%)
MYREPUBLIC LIMITED (2)                                   2855007 (0.0%)
Intersvyaz-2 JSC (1)                                     2819261 (0.0%)
Nianet A/S (2)                                           2815974 (0.0%)
BELNET (2)                                               2813245 (0.0%)
Netsign Networks GmbH (1)                                2806698 (0.0%)
Zyztm Research Division 10 B.V. (1)                      2791865 (0.0%)
Omskie kabelnye seti Ltd. (1)                            2790552 (0.0%)
Ticinocom SA (2)                                         2750701 (0.0%)
Interhost Communication Solutions Ltd. (1)               2747974 (0.0%)
Riseup Networks (1)                                      2728275 (0.0%)
Telecom3 Sverige AB (2)                                  2728273 (0.0%)
Hutchison Global Communications (4)                      2722266 (0.0%)
Ukrainian Internet Names Center LTD (1)                  2718995 (0.0%)
Argon Data Communication (2)                             2699226 (0.0%)
Locaweb Serviços de Internet S/A (2)                    2684683 (0.0%)
Croatian Academic and Research Network (1)               2683999 (0.0%)
TAZ Verlags- und Vertriebs GmbH (2)                      2680012 (0.0%)
SuperNetwork s.r.o. (1)                                  2669381 (0.0%)
Universidad Nacional Autonoma de Mexico (2)              2662872 (0.0%)
Hiper A/S (2)                                            2659413 (0.0%)
Closed Joint Stock Company TransTeleCom (1)              2636057 (0.0%)
McGill University (1)                                    2619116 (0.0%)
A1 Telekom Austria AG (5)                                2595542 (0.0%)
TalkTalk (4)                                             2594278 (0.0%)
TekTonic (2)                                             2586357 (0.0%)
LLC IT Business (1)                                      2586291 (0.0%)
Kabelfernsehen Muenchen ServiCenter GmbH & Co.KG (6)     2582802 (0.0%)
European Backbone Networks Inc. (1)                      2576037 (0.0%)
Informacines sistemos ir technologijos, UAB (2)          2574104 (0.0%)
Jump Networks Ltd (3)                                    2571273 (0.0%)
SpaceNet AG (1)                                          2568475 (0.0%)
Zen Internet Ltd (4)                                     2559456 (0.0%)
OU Web Hosting Solutions (2)                             2557527 (0.0%)
Slovak Telecom, a. s. (1)                                2536448 (0.0%)
NC Numericable S.A. (7)                                  2535851 (0.0%)
Tiera Centr Ltd (1)                                      2524160 (0.0%)
BrainStorm Network, Inc (2)                              2505310 (0.0%)
National Chiao Tung University (2)                       2483523 (0.0%)
Cooolbox AD (1)                                          2480518 (0.0%)
Unwired (2)                                              2439303 (0.0%)
Edutel BV (3)                                            2433705 (0.0%)
Infomaniak Network SA (1)                                2431022 (0.0%)
Webaxys SAS (1)                                          2410942 (0.0%)
Orange Polska Spolka Akcyjna (4)                         2375931 (0.0%)
SatTel Corporation, Ltd. (1)                             2369994 (0.0%)
TOV Global-NET (1)                                       2354176 (0.0%)
Netcetera Ltd. (1)                                       2354176 (0.0%)
CoreSpace, Inc. (1)                                      2330126 (0.0%)
Ucom LLC (1)                                             2324400 (0.0%)
CELL-C (1)                                               2320687 (0.0%)
CDM (1)                                                  2306771 (0.0%)
FuslVZ Ltd. (1)                                          2303400 (0.0%)
DomoLAN Ltd. (1)                                         2290155 (0.0%)
TIME dotCom Berhad (1)                                   2284668 (0.0%)
RCN (5)                                                  2245817 (0.0%)
RouteLabel V.O.F. (6)                                    2245326 (0.0%)
Individual Network Berlin e.V. (4)                       2226344 (0.0%)
CLARKSVILLE DEPARTMENT OF ELECTRICITY (1)                2224561 (0.0%)
DirectSpace Networks, LLC. (1)                           2220723 (0.0%)
Krasnoyarsklespromproekt OJSC (1)                        2213004 (0.0%)
Spark New Zealand Trading Ltd. (2)                       2179746 (0.0%)
Nette sp. z o.o. (1)                                     2159736 (0.0%)
Arvig Enterprises Inc. (1)                               2114065 (0.0%)
Integra Telecom, Inc. (1)                                2105215 (0.0%)
Euskaltel S.A. (1)                                       2100224 (0.0%)
TPG Telecom Limited (5)                                  2100137 (0.0%)
ImproWare AG (3)                                         2091385 (0.0%)
LLC Murmansk Multiservice Networks (1)                   2063360 (0.0%)
Mediacom Communications Corp (3)                         2044694 (0.0%)
Starry Network Limited (1)                               2043121 (0.0%)
CHT Compamy Ltd (3)                                      2038467 (0.0%)
Aruba SAS (4)                                            2033448 (0.0%)
Carolina Internet, Ltd. (1)                              2015339 (0.0%)
Zappie Host LLC (1)                                      2008157 (0.0%)
UNIVERSIDADE ESTADUAL DE CAMPINAS (2)                    2000152 (0.0%)
ARDH GLOBAL INDONESIA, PT (1)                            1967801 (0.0%)
Cogeco Peer 1 (2)                                        1899669 (0.0%)
Lennart Seitz (1)                                        1884296 (0.0%)
Business Consulting LLC (2)                              1881935 (0.0%)
OTEnet S.A. (6)                                          1877899 (0.0%)
AxcelX Technologies LLC (1)                              1866138 (0.0%)
OJSC Ufanet (2)                                          1843206 (0.0%)
GEORGIA PUBLIC WEB, INC. (1)                             1841987 (0.0%)
Prometeus di Daniela Agro (4)                            1821007 (0.0%)
ecotel communication ag (3)                              1797717 (0.0%)
NextGenTel AS (3)                                        1791404 (0.0%)
TDS TELECOM (2)                                          1761499 (0.0%)
Bradler & Krantz GmbH & Co. KG (2)                       1747858 (0.0%)
SYNAPSECOM S.A. Provider of Telecommunications and (1)   1733156 (0.0%)
ArubaCloud Limited (3)                                   1714393 (0.0%)
Digit One LLC (1)                                        1707302 (0.0%)
Gorset Ltd. (1)                                          1692333 (0.0%)
Codero (2)                                               1689020 (0.0%)
NovoServe B.V. (1)                                       1665226 (0.0%)
Wind Telecomunicazioni SpA (4)                           1654910 (0.0%)
Artfiles New Media GmbH (1)                              1650920 (0.0%)
R-KOM Regensburger Telekommunikationsgesellschaft  (1)   1615141 (0.0%)
Ocala Electric Utility (1)                               1602123 (0.0%)
Cincinnati Bell Telephone Company LLC (1)                1590291 (0.0%)
Fork Networking, LLC (1)                                 1577375 (0.0%)
Liquid Web, L.L.C (1)                                    1573248 (0.0%)
NTT Communications Corporation (6)                       1572814 (0.0%)
Telstra Pty Ltd (6)                                      1572760 (0.0%)
IP TELECOM GLOBAL (2)                                    1568870 (0.0%)
G-Core Labs S.A. (1)                                     1545216 (0.0%)
EnergiMidt Fiberbredband A/S (1)                         1538999 (0.0%)
rrbone UG (haftungsbeschraenkt) (1)                      1532528 (0.0%)
Companhia de Telecomunicacoes de Macau SARL (1)          1516544 (0.0%)
CoreSite (1)                                             1506283 (0.0%)
Nos Comunicacoes, S.A. (3)                               1503906 (0.0%)
Deteque LLC (1)                                          1489714 (0.0%)
Internet Initiative Japan Inc. (2)                       1479451 (0.0%)
Net Onboard Sdn Bhd - Quality & Reliable Cloud Hos (1)   1477632 (0.0%)
Infoline Ltd. (1)                                        1464596 (0.0%)
KDDI CORPORATION (3)                                     1463005 (0.0%)
NetStack-AS (1)                                          1460963 (0.0%)
Vladivostokskaya Set LTD (1)                             1460830 (0.0%)
Sibinet, Ltd. (2)                                        1453758 (0.0%)
CJSC Ural WES (2)                                        1440945 (0.0%)
Telenet BVBA (3)                                         1440403 (0.0%)
CMC Telecom Infrastructure Company (1)                   1438720 (0.0%)
GX INTERNET E WEB HOSTING SERV DE INFORMATICA LTDA (1)   1378098 (0.0%)
Solar Invest UK LTD. (1)                                 1366378 (0.0%)
Limited Company Information and Consulting Agency (1)    1347584 (0.0%)
CAIW Diensten B.V. (1)                                   1337344 (0.0%)
WebJanssen ISP ltd & Co KG (1)                           1336771 (0.0%)
T-Mobile Austria GmbH (1)                                1330221 (0.0%)
Net-style Atarim Ltd (1)                                 1324399 (0.0%)
OOO National Telecommunications (1)                      1324032 (0.0%)
Philippine Long Distance Telephone Company (1)           1322533 (0.0%)
Rachamim Aviel Twito trading as A.B INTERNET SOLUT (1)   1321923 (0.0%)
VIPnet d.o.o. (1)                                        1318824 (0.0%)
Exa Bytes Network Sdn.Bhd. (1)                           1311744 (0.0%)
Euronet Norbert Saniewski Spolka Jawna (1)               1310720 (0.0%)
Unit-IS Ltd. (1)                                         1303577 (0.0%)
CJSC TSI Service (1)                                     1301939 (0.0%)
Singtel Fibre Broadband (1)                              1300421 (0.0%)
Rochester Institute of Technology (2)                    1299986 (0.0%)
Eircom (1)                                               1297408 (0.0%)
Tieteen tietotekniikan keskus Oy (1)                     1294587 (0.0%)
WIBO Baltic UAB (1)                                      1293726 (0.0%)
Reliance Communications Ltd.DAKC MUMBAI (1)              1290452 (0.0%)
LeapSwitch Networks Pvt Ltd (2)                          1288908 (0.0%)
Cloudsigma Ag (1)                                        1288641 (0.0%)
ALDIS Telecom Ltd (1)                                    1287503 (0.0%)
Alastyr Telekomunikasyon A.S. (1)                        1285738 (0.0%)
UCOM Corp. (1)                                           1281024 (0.0%)
Vectra S.A. (2)                                          1277066 (0.0%)
Yahoo Japan Corporation (1)                              1275802 (0.0%)
netplus.ch SA (2)                                        1272962 (0.0%)
NINET Company Nis d.o.o. (1)                             1261774 (0.0%)
Virtono Networks SRL (1)                                 1261568 (0.0%)
SupraNet Communications, Inc. (1)                        1261189 (0.0%)
Computer Wired SRL (1)                                   1254506 (0.0%)
NEW JERSEY INTERNATIONAL INTERNET EXCHANGE LLC (1)       1252381 (0.0%)
HitMe.pl Marek Bajerski (1)                              1245667 (0.0%)
mhs internet AG (1)                                      1241396 (0.0%)
AltusHost B.V. (1)                                       1238875 (0.0%)
Skynet Sp. J. Krzysztof Skorupski, Filip Bacciarel (1)   1234110 (0.0%)
Brownrice Internet, Inc. (1)                             1233655 (0.0%)
ZNET Telekom Zrt. (1)                                    1229189 (0.0%)
SkyLink Data Center BV (1)                               1227504 (0.0%)
LLHost Inc (1)                                           1225878 (0.0%)
hd.net.nz (1)                                            1225032 (0.0%)
Vodafone NZ Ltd. (2)                                     1224136 (0.0%)
iksnet bilgisayar destek hizmetleri anonim sirketi (1)   1223486 (0.0%)
Digital Energy Technologies Chile SpA (1)                1223374 (0.0%)
Hostway Services, Inc. (1)                               1223061 (0.0%)
Start Communications (1)                                 1218715 (0.0%)
CLARO S.A. (5)                                           1217960 (0.0%)
3S S.A. (1)                                              1216720 (0.0%)
SIA Digitalas Ekonomikas Attistibas Centrs (1)           1216590 (0.0%)
Centro Educacional Nossa Senhora Auxiliadora (1)         1215239 (0.0%)
Radio Muzyka Fakty Sp. z o.o. (1)                        1213558 (0.0%)
KIFU (Governmental Info Tech Development Agency) (1)     1211444 (0.0%)
MYREPUBLIC PTY LTD (1)                                   1208837 (0.0%)
Occino GmbH (1)                                          1205158 (0.0%)
1984 ehf (2)                                             1199452 (0.0%)
rsnet s.r.o. (1)                                         1196238 (0.0%)
ABC Domain LLC (1)                                       1189173 (0.0%)
It_services (1)                                          1185246 (0.0%)
LLC Internet Tehnologii (1)                              1184412 (0.0%)
Vivacom (1)                                              1168119 (0.0%)
iFiber Communications Corp. (1)                          1163798 (0.0%)
DoclerWeb Kft. (1)                                       1146880 (0.0%)
UGMK-Telecom LLC (1)                                     1144009 (0.0%)
Axtel, S.A.B. de C.V. (1)                                1142910 (0.0%)
Primus Telecommunications Canada Inc. (1)                1138616 (0.0%)
Iwacom Sp. Z O.o. (1)                                    1118058 (0.0%)
Armstrong Cable Services (2)                             1117059 (0.0%)
Racknation S.A. (1)                                      1114892 (0.0%)
QSC AG (9)                                               1108504 (0.0%)
Depaul University (1)                                    1083928 (0.0%)
Cloudie Limited (7)                                      1081535 (0.0%)
Trustica s.r.o. (2)                                      1077722 (0.0%)
Softbank BB Corp. (2)                                    1051284 (0.0%)
T-Systems International GmbH (1)                         1045374 (0.0%)
Tele 2 Nederland B.V. (2)                                1022476 (0.0%)
Mittwald CM Service GmbH und Co.KG (1)                   999408 (0.0%)
PCCW Limited (1)                                         989349 (0.0%)
Spirit Telecom (Australia) Pty Ltd (1)                   981555 (0.0%)
VNET a.s. (1)                                            957592 (0.0%)
NTT PC Communications, Inc. (3)                          950989 (0.0%)
PS Internet Company LLC (2)                              925175 (0.0%)
SkyMesh Pty Ltd (2)                                      901228 (0.0%)
DISTRIBUTEL COMMUNICATIONS LTD. (1)                      890267 (0.0%)
AsterNet Ltd. (1)                                        878521 (0.0%)
Hostwinds LLC. (1)                                       875414 (0.0%)
CABLEVISION S.A. (2)                                     874382 (0.0%)
Mythic Beasts Ltd (1)                                    858306 (0.0%)
PODA a.s. (2)                                            845821 (0.0%)
365 Online technology joint stock company (1)            844815 (0.0%)
Longmont Power & Communications (1)                      840818 (0.0%)
Redcom-Internet Inc. (1)                                 836321 (0.0%)
Buzinessware FZCO (1)                                    797860 (0.0%)
HostMySite (1)                                           769927 (0.0%)
Orange Slovensko a.s. (2)                                767623 (0.0%)
SIA Lattelecom (1)                                       763145 (0.0%)
Ellijay Telephone Company (1)                            761276 (0.0%)
CallPlus Services Limited (2)                            732215 (0.0%)
Asahi Net (1)                                            732160 (0.0%)
Corporate Colocation Inc. (2)                            727241 (0.0%)
EBOX (2)                                                 726796 (0.0%)
Xirra GmbH (1)                                           724395 (0.0%)
New Wave Communications (1)                              720725 (0.0%)
Heinlein-Support GmbH (1)                                719338 (0.0%)
IT7 Networks Inc (1)                                     716978 (0.0%)
InSPire Net Ltd (1)                                      709906 (0.0%)
Rackspace Ltd. (2)                                       707195 (0.0%)
York University (1)                                      700019 (0.0%)
Dial Telecom, a.s. (2)                                   699772 (0.0%)
Maniera Service - Biuro Uslug Komputerowo-Internet (1)   679936 (0.0%)
HostUS (1)                                               667418 (0.0%)
Euronet Communications B.V. (1)                          666578 (0.0%)
Brightbox Systems Ltd (1)                                664935 (0.0%)
Omnis Network, LLC (1)                                   656481 (0.0%)
dogado GmbH (1)                                          655870 (0.0%)
Starman AS (1)                                           655068 (0.0%)
Inforoom Ltd. (1)                                        654325 (0.0%)
eTOP sp. z o.o. (1)                                      648996 (0.0%)
komro GmbH (1)                                           648389 (0.0%)
Bluebird Network (1)                                     648031 (0.0%)
AS250.net Foundation (1)                                 646221 (0.0%)
rh-tec Business GmbH (3)                                 644370 (0.0%)
Sun Network (Hong Kong) Limited - HongKong Backbon (1)   633742 (0.0%)
SnapServ Ltd (1)                                         632805 (0.0%)
Connexions4London Ltd (4)                                629635 (0.0%)
LLC TOMTEL (1)                                           627712 (0.0%)
North State Telephone Co. (1)                            621672 (0.0%)
Internet Services (1)                                    617819 (0.0%)
Novus Entertainment Inc. (1)                             613080 (0.0%)
iiNet Limited (1)                                        610304 (0.0%)
SWAN, a.s. (1)                                           608645 (0.0%)
CONTINENTAL BROADBAND PENNSYLVANIA, INC. (1)             606178 (0.0%)
FIBIA P/S (1)                                            605215 (0.0%)
The Corporation for Financing & Promoting Technolo (1)   601846 (0.0%)
Utelisys Communications B.V. (1)                         597881 (0.0%)
Freenet Ltd. (1)                                         591222 (0.0%)
PT Cloud Hosting Indonesia (1)                           582887 (0.0%)
NetCom BW GmbH (1)                                       577536 (0.0%)
TELEFÓNICA CHILE S.A. (1)                               572569 (0.0%)
Telenor A/S (1)                                          571378 (0.0%)
WTT HK Limited (1)                                       569386 (0.0%)
CloudVPS B.V. (2)                                        550388 (0.0%)
City of Tacoma (1)                                       549042 (0.0%)
IE Kazakov Aleksey Dmitrievich (1)                       546304 (0.0%)
Enzu Inc (1)                                             545792 (0.0%)
ENTEGA Medianet GmbH (2)                                 544240 (0.0%)
BERTOLDI & VENANCIO INTERNET VIA RADIO ME (1)            534387 (0.0%)
Arcade Solutions AG (1)                                  527775 (0.0%)
Bowdoin College (1)                                      526699 (0.0%)
encoLine GmbH (1)                                        525312 (0.0%)
Spark Ventures (1)                                       517967 (0.0%)
Nessus GmbH (2)                                          508324 (0.0%)
Virtual Citadel Inc. (1)                                 506280 (0.0%)
Lost Oasis SARL (1)                                      500736 (0.0%)
Iskratelecom CJSC (1)                                    497715 (0.0%)
PCextreme B.V. (1)                                       491430 (0.0%)
Telecable de Asturias,SA (1)                             472335 (0.0%)
skHosting.eu s.r.o. (1)                                  470674 (0.0%)
Allied Telecom Group, LLC (1)                            466784 (0.0%)
Serbia BroadBand-Srpske Kablovske mreze d.o.o. (1)       465920 (0.0%)
SkipLink, LLC (1)                                        462848 (0.0%)
PT. Raja Sepadan Abadi (1)                               462273 (0.0%)
Next Layer Telekommunikationsdienstleistungs- und  (1)   453655 (0.0%)
Prima S.A. (3)                                           452063 (0.0%)
Grande Communications Networks, LLC (1)                  446194 (0.0%)
Ic-voronezh (1)                                          443196 (0.0%)
TAU INTERNET Lukasz Chajkaluk (1)                        441150 (0.0%)
Patrik Lagerman WEB, Enskild Firma (1)                   422912 (0.0%)
ServeNET Solution Limited Partnership (1)                421888 (0.0%)
SychrovNET s.r.o (1)                                     420015 (0.0%)
Clouvider Limited (1)                                    407841 (0.0%)
Metronet telekomunikacije d.d. (1)                       403879 (0.0%)
Buckeye Cablevision, Inc. (1)                            403456 (0.0%)
Ooredoo Q.S.C. (1)                                       400384 (0.0%)
Aalto University Student Union (1)                       391280 (0.0%)
Consolidated Communications, Inc. (1)                    389521 (0.0%)
31173 Services AB (1)                                    386048 (0.0%)
Nexeon Technologies, Inc. (1)                            373671 (0.0%)
Telkab sp. z o.o. (1)                                    372736 (0.0%)
SECURED SERVERS LLC (2)                                  369707 (0.0%)
Dennis Rainer Warnholz trading as active-servers.c (1)   368651 (0.0%)
uvensys GmbH (3)                                         368485 (0.0%)
Hosting.de GmbH (1)                                      367959 (0.0%)
Infobunker, L.L.C. (2)                                   365041 (0.0%)
Rogers Communications Canada Inc. (2)                    364622 (0.0%)
Nej.cz s.r.o. (1)                                        362975 (0.0%)
Servicos De Comunicacoes E Multimedia S.A. (1)           359424 (0.0%)
Long Lines Internet (1)                                  358400 (0.0%)
Loveservers LTD (1)                                      354750 (0.0%)
Dansk Net A/S (1)                                        346653 (0.0%)
LIWEST Kabelmedien GmbH (1)                              343740 (0.0%)
OnX Enterprise Solutions Inc. (1)                        336456 (0.0%)
TELTA Citynetz GmbH (1)                                  333940 (0.0%)
SAREnet, S.A. (1)                                        328392 (0.0%)
Electric Plant Board of the City of Glasgow, Kentu (1)   321922 (0.0%)
ENTEL CHILE S.A. (1)                                     313344 (0.0%)
K-Opticom Corporation (1)                                313190 (0.0%)
JMDI Jacek Maleszko (1)                                  312631 (0.0%)
Jisc Services Limited (1)                                308364 (0.0%)
Hiawatha Broadband Communications, Inc (1)               307668 (0.0%)
Google LLC (1)                                           306942 (0.0%)
vollmar.net GmbH (1)                                     302985 (0.0%)
Primus Telecommunications (2)                            297677 (0.0%)
FIBERNETICS CORPORATION (1)                              287968 (0.0%)
Lightup Network Solutions GmbH & Co. KG (3)              281333 (0.0%)
R Cable y Telecomunicaciones Galicia, S.A. (1)           277250 (0.0%)
TELEKOM SRBIJA a.d. (1)                                  270730 (0.0%)
Hot-Net internet services Ltd. (1)                       260152 (0.0%)
JSC RTComm.RU (1)                                        259892 (0.0%)
Cloud South (1)                                          259435 (0.0%)
Tiscali SpA (3)                                          258989 (0.0%)
Telecel S.A. (1)                                         258400 (0.0%)
Consortium GARR (1)                                      254975 (0.0%)
BEK Communications Cooperative (1)                       253993 (0.0%)
iTools JSC (1)                                           253861 (0.0%)
TRICOM (1)                                               249256 (0.0%)
Hosting Ukraine LTD (2)                                  248116 (0.0%)
California State University, Office of the Chancel (1)   244348 (0.0%)
Ratt Internet Kapacitet i Sverige AB (1)                 243908 (0.0%)
KhmelnitskInfocom LTD (2)                                239981 (0.0%)
CABO SERVICOS DE TELECOMUNICACOES LTDA (1)               239476 (0.0%)
Sigterm Mikal Villa (1)                                  235505 (0.0%)
EE Limited (1)                                           235223 (0.0%)
Hathway IP Over Cable Internet (2)                       234558 (0.0%)
TAL.DE Klaus Internet Service GmbH (2)                   233470 (0.0%)
Biddeford Internet Corp (2)                              232190 (0.0%)
SHYAM SPECTRA PVT LTD (2)                                225280 (0.0%)
Grupo Panaglobal 15 S.A (1)                              225079 (0.0%)
Andorra Telecom Sau (1)                                  224910 (0.0%)
Origin Broadband Limited (1)                             220389 (0.0%)
HostSlim BV (1)                                          219677 (0.0%)
Windstream Communications LLC (2)                        217163 (0.0%)
FreeBit Co.,Ltd. (1)                                     194241 (0.0%)
Nebula Oy (2)                                            190065 (0.0%)
HL komm Telekommunikations GmbH (1)                      185081 (0.0%)
VSE NET GmbH (1)                                         176098 (0.0%)
Teleradiocompany Teleos-1 Ltd (1)                        175379 (0.0%)
PJSC Ukrtelecom (1)                                      173056 (0.0%)
Wobcom GmbH (3)                                          166887 (0.0%)
Mahanagar Telephone Nigam Limited (1)                    164296 (0.0%)
noris network AG (1)                                     163132 (0.0%)
AMSNET Andrzej Szreter (1)                               157762 (0.0%)
Telemach UG d.o.o. (1)                                   157696 (0.0%)
Midcontinent Communications (1)                          157170 (0.0%)
National Internet Backbone (1)                           155436 (0.0%)
Rychly drat, s.r.o. (1)                                  154106 (0.0%)
Tyfon (1)                                                151034 (0.0%)
TELE AG (1)                                              145265 (0.0%)
Cable One, Inc. (1)                                      142635 (0.0%)
Telecom Argentina S.A. (2)                               140482 (0.0%)
Kangaroot BVBA (1)                                       138339 (0.0%)
Colo4, LLC (1)                                           132939 (0.0%)
FortressITX (1)                                          132096 (0.0%)
Vienna University Computer Center (1)                    132058 (0.0%)
Aixit GmbH (1)                                           128994 (0.0%)
Individual Entrepreneur Tetiana Markova (1)              128844 (0.0%)
Elkdata OU (1)                                           128697 (0.0%)
EastLink (1)                                             126954 (0.0%)
7heaven LLC (2)                                          126920 (0.0%)
Symphony Communication (Thailand) PCL. (2)               125327 (0.0%)
Fiber 1 Ltd. (1)                                         125311 (0.0%)
Nexinto GmbH (1)                                         124928 (0.0%)
Tarr Kft. (1)                                            124895 (0.0%)
SWITCH (1)                                               124349 (0.0%)
Iberbanda S.A. (1)                                       123808 (0.0%)
Kcom (1)                                                 123745 (0.0%)
ennit server GmbH (1)                                    122857 (0.0%)
Host Virtual, Inc (1)                                    122436 (0.0%)
Synergy Internet Services Florida (1)                    121970 (0.0%)
Intelsc Ltd. (1)                                         121763 (0.0%)
ANGANI-AS (1)                                            120441 (0.0%)
manitu GmbH (1)                                          119552 (0.0%)
TOKAI Communications Corporation (1)                     118185 (0.0%)
Bergon Internet Ltd. (1)                                 116181 (0.0%)
ConSol Consulting & Solutions Software GmbH (1)          115635 (0.0%)
Speedbone Internet & Connectivity GmbH (1)               115488 (0.0%)
Ruscom Ltd. (1)                                          115174 (0.0%)
Qhoster Ltd. (1)                                         115128 (0.0%)
CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT E (1)   115038 (0.0%)
Exa Networks Limited (1)                                 114716 (0.0%)
OAO Osnova Telecom (1)                                   114677 (0.0%)
Source XS B.V. (1)                                       114659 (0.0%)
Gtd Internet S.A. (1)                                    114563 (0.0%)
itself s.r.o. (1)                                        114390 (0.0%)
Cablenet Communication Systems Ltd (1)                   112407 (0.0%)
Closed Joint Stock Company SibTransTelecom (1)           112069 (0.0%)
Balnet Ltd. (1)                                          110519 (0.0%)
SiteHost New Zealand (1)                                 109341 (0.0%)
Summit Internet (Australia) (1)                          108595 (0.0%)
Sc Cloud Troopers International Srl (1)                  105569 (0.0%)
FUJITSU LIMITED (1)                                      104230 (0.0%)
CMB (1)                                                  103688 (0.0%)
MT-MPLS (2)                                              102427 (0.0%)
Telecom Service LLC (1)                                  102400 (0.0%)
RCL CJSC (1)                                             101474 (0.0%)
MILLICOM CABLE COSTA RICA S.A. (1)                       97415 (0.0%)
453 Ladplacout Jorakhaebua (1)                           97280 (0.0%)
Airstream Communications, LLC (1)                        96308 (0.0%)
FASTER CZ spol. s r.o. (1)                               94522 (0.0%)
AlpineDC SA (1)                                          93806 (0.0%)
Partner Communications Ltd. (1)                          93184 (0.0%)
ManagedWay (1)                                           90143 (0.0%)
Aureon Network Services (1)                              89675 (0.0%)
Spin Internet Service (1)                                88064 (0.0%)
NetNet (1)                                               86982 (0.0%)
PT. Mediatama Telematika Nusantara (1)                   86039 (0.0%)
Panamaserver.com (1)                                     85157 (0.0%)
Manx Telecom (1)                                         81617 (0.0%)
Prometey LLC (1)                                         79090 (0.0%)
Orange Belgium SA (1)                                    78848 (0.0%)
GLOBALNET-AS (1)                                         76800 (0.0%)
New Telesystems - TV, Ltd. (1)                           73843 (0.0%)
MDlink online service center GmbH (1)                    69632 (0.0%)
Cutting Edge Communications, Inc. (1)                    68498 (0.0%)
Digital Energy Technologies Limited (1)                  60204 (0.0%)
PrimaCom Berlin GmbH (1)                                 59971 (0.0%)
mitko.com Eood (1)                                       59971 (0.0%)
JEFFERSON CO. CABLE, INC. (1)                            59870 (0.0%)
JSC Vostoktelecom (1)                                    59634 (0.0%)
H88 S.A. (1)                                             58597 (0.0%)
Exetel Pty Ltd (1)                                       58088 (0.0%)
NSS S.A. (1)                                             58011 (0.0%)
GENERAL COMMUNICATION, INC. (1)                          57847 (0.0%)
TE-AS (1)                                                56705 (0.0%)
KSS-Telecom OOO (1)                                      56562 (0.0%)
Cogeco Cable Holdings Inc (1)                            56346 (0.0%)
Multimedia Polska S.A. (1)                               52595 (0.0%)
Public Telecommunication Corporation (1)                 52140 (0.0%)
GPTC Autonomous System, Tripoli Libya (1)                45908 (0.0%)
Orange Espagne SA (1)                                    45056 (0.0%)
Telemar Norte Leste S.A. (1)                             43414 (0.0%)
The Computer Shop Netlink (1)                            38997 (0.0%)
National Telecommunication Corporation HQ (1)            37413 (0.0%)
PJSC MegaFon (1)                                         24636 (0.0%)
PJSC Telesystems of Ukraine (1)                          19725 (0.0%)
Gigabit Hosting Sdn Bhd (1)                              15320 (0.0%)
Everest Broadcasting Company Ltd (1)                     9954 (0.0%)
RFTkabel Brandenburg GmbH (1)                            5292 (0.0%)
LLC KomTehCentr (1)                                      0 (0.0%)
Pakistan Telecom Company Limited (1)                     0 (0.0%)


Copyright (C) 2017 by Tor Diversity Project <info@torbsd.org>
All Rights Reserved.

Released under an ISC license; see the GitHub repository
for details at https://github.com/torbsd/tdp-onion-stats/
