
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Date: Fri Jun 30 20:24:02 UTC 2017
Data Source: https://onionoo.torproject.org

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NAME

AS_NAME (count)                                          CONSENSUS_WEIGHT_FRAC
=======================================================  ======================
OVH SAS (599)                                            17.2%
Online S.a.s. (422)                                      10.9%
Hetzner Online GmbH (346)                                7.1%
Digital Ocean, Inc. (432)                                6.4%
myLoc managed IT AG (60)                                 2.7%
Voxility S.R.L. (25)                                     2.0%
Host Europe GmbH (52)                                    1.8%
SURFnet, The Netherlands (6)                             1.4%
1&1 Internet SE (27)                                     1.3%
ITL Company (51)                                         1.0%
LeaseWeb Netherlands B.V. (43)                           0.9%
SOFTplus Entwicklungen GmbH (27)                         0.8%
Linode, LLC (229)                                        0.8%
Hurricane Electric, Inc. (13)                            0.8%
Xs4all Internet BV (38)                                  0.7%
root SA (19)                                             0.7%
EVANZO e-commerce GmbH (20)                              0.7%
Contabo GmbH (41)                                        0.7%
ISPpro Internet KG (35)                                  0.7%
QuadraNet, Inc (30)                                      0.7%
Init7 (Switzerland) Ltd. (26)                            0.6%
Zwiebelfreunde e.V. (6)                                  0.6%
WEDOS Internet, a.s. (29)                                0.6%
Keyweb AG (31)                                           0.6%
Not SURF Net (3)                                         0.6%
WorldStream B.V. (13)                                    0.5%
Choopa, LLC (80)                                         0.5%
YISP B.V. (5)                                            0.5%
Seflow S.N.C. Di Marco Brame' & C. (14)                  0.5%
Alistar Security Srl (2)                                 0.5%
Hextet Systems (6)                                       0.5%
Leaseweb Deutschland GmbH (17)                           0.5%
Makonix SIA (37)                                         0.5%
 (1)                                                     0.4%
Tetaneutral.net (3)                                      0.4%
NForce Entertainment B.V. (9)                            0.4%
Private Layer INC (20)                                   0.4%
BENESTRA, s.r.o. (4)                                     0.4%
Massachusetts Institute of Technology (13)               0.4%
SITAB Infrastruktur (8)                                  0.4%
Cogent Communications (19)                               0.4%
Deutsche Telekom AG (218)                                0.4%
Tele2 Telecommunication GmbH (8)                         0.4%
Verein zur Foerderung eines Deutschen Forschungsne (18)  0.4%
FlokiNET ehf (36)                                        0.4%
null (16)                                                0.4%
MCI Communications Services, Inc. d/b/a Verizon Bu (41)  0.3%
Solar Communications GmbH (14)                           0.3%
EnergiMidt Fiberbredband A/S (7)                         0.3%
I.C.S. Trabia-Network S.R.L. (22)                        0.3%
TUTNET TUT Autonomous System (10)                        0.3%
