
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Date: Fri Jun 30 20:24:01 UTC 2017
Data Source: https://onionoo.torproject.org

CONSENSUS WEIGHT FRACTION BY COUNTRY

COUNTRY (count)   CONSENSUS_WEIGHT_FRAC
================  =============================================================
fr (966)          24.0%
de (1446)         21.4%
nl (548)          12.9%
us (1186)         8.9%
ca (293)          3.6%
gb (279)          3.5%
ro (90)           3.0%
se (196)          3.0%
ch (169)          2.9%
ru (366)          2.1%
ua (134)          1.5%
dk (57)           1.3%
cz (88)           1.2%
fi (75)           1.0%
hu (38)           0.8%
at (61)           0.8%
lu (22)           0.8%
it (76)           0.6%
no (53)           0.6%
pa (13)           0.6%
pl (56)           0.6%
md (47)           0.6%
bg (59)           0.5%
sk (19)           0.5%
null (17)         0.5%
lv (38)           0.5%
lt (27)           0.4%
es (48)           0.3%
be (33)           0.2%
ie (21)           0.2%
sc (17)           0.2%
pt (14)           0.1%
gr (23)           0.1%
ee (9)            0.1%
au (59)           0.1%
sg (78)           0.1%
jp (80)           0.1%
br (45)           0.1%
in (28)           0.1%
al (5)            0.0%
tr (8)            0.0%
is (18)           0.0%
il (13)           0.0%
cl (5)            0.0%
cr (8)            0.0%
za (8)            0.0%
rs (2)            0.0%
kn (1)            0.0%
tw (11)           0.0%
kr (17)           0.0%
hk (12)           0.0%
bz (1)            0.0%
nz (16)           0.0%
id (8)            0.0%
ar (13)           0.0%
my (14)           0.0%
vn (11)           0.0%
by (1)            0.0%
im (2)            0.0%
kg (3)            0.0%
hr (4)            0.0%
sa (2)            0.0%
mx (5)            0.0%
th (2)            0.0%
si (2)            0.0%
am (2)            0.0%
cy (1)            0.0%
eg (2)            0.0%
ph (1)            0.0%
ae (1)            0.0%
do (1)            0.0%
mn (1)            0.0%
gt (1)            0.0%
py (1)            0.0%
ir (3)            0.0%
tn (2)            0.0%
pk (1)            0.0%
ke (1)            0.0%
mk (1)            0.0%
uy (1)            0.0%
ps (1)            0.0%


Copyright (C) 2017 by Tor Diversity Project <tdp@nycbug.org>
All Rights Reserved.

Released under an ISC license; see the GitHub repository
for details at https://github.com/torbsd/tdp-onion-stats
