
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Date: Sun Jul  2 21:10:15 UTC 2017
Data Source: https://onionoo.torproject.org

NETWORK BANDWIDTH BY TOR VERSION

VERS (count)           BANDWIDTH
=====================  ========================================================
TOTAL (7087)           29037537051.0
0.2.9.11 (1468)        6860149227.0 (23.6%)
0.2.9.10 (1230)        5909325520.0 (20.4%)
0.3.0.8 (664)          3776922724.0 (13.0%)
0.2.7.6 (797)          2194891380.0 (7.6%)
0.2.5.12 (530)         1686261809.0 (5.8%)
0.3.0.7 (267)          1634903029.0 (5.6%)
0.2.9.9 (266)          1287905146.0 (4.4%)
0.2.5.14 (464)         1116561594.0 (3.8%)
0.2.8.9 (170)          978645482.0 (3.4%)
0.2.4.27 (323)         720697822.0 (2.5%)
0.2.6.10 (149)         649831053.0 (2.2%)
0.3.1.3-alpha (38)     238996488.0 (0.8%)
0.2.8.12 (55)          176307804.0 (0.6%)
0.2.8.10 (18)          158056644.0 (0.5%)
0.3.2.0-alpha-dev (8)  148170943.0 (0.5%)
0.2.9.8 (65)           135561478.0 (0.5%)
0.2.4.29 (123)         130229896.0 (0.4%)
0.2.8.11 (35)          128176804.0 (0.4%)
0.3.0.2-alpha (13)     113467014.0 (0.4%)
0.3.0.1-alpha (14)     99124289.0 (0.3%)
0.2.8.14 (8)           96131823.0 (0.3%)
0.3.0.3-alpha (8)      93436880.0 (0.3%)
0.2.4.23 (114)         88958546.0 (0.3%)
0.3.0.6 (31)           74751162.0 (0.3%)
0.2.8.7 (34)           62051576.0 (0.2%)
0.3.0.5-rc (12)        56885845.0 (0.2%)
0.2.8.6 (13)           46743379.0 (0.2%)
0.2.5.10 (18)          45258618.0 (0.2%)
0.2.8.8 (27)           40110726.0 (0.1%)
0.2.8.13 (4)           30576936.0 (0.1%)
0.2.4.24 (9)           29072657.0 (0.1%)
0.2.6.6 (4)            21312861.0 (0.1%)
0.2.4.20 (11)          20483946.0 (0.1%)
0.3.0.4-rc (5)         17030495.0 (0.1%)
0.3.1.0-alpha-dev (3)  16417642.0 (0.1%)
0.3.1.3-alpha-dev (2)  14781100.0 (0.1%)
0.2.7.5 (7)            14386198.0 (0.0%)
0.3.1.2-alpha (6)      12848914.0 (0.0%)
0.2.4.22 (14)          12208355.0 (0.0%)
0.2.9.8-dev (1)        11328492.0 (0.0%)
0.2.4.26 (2)           11182931.0 (0.0%)
0.2.6.0-alpha-dev (5)  8009660.0 (0.0%)
0.3.1.2-alpha-dev (8)  7515318.0 (0.0%)
0.3.0.7-dev (2)        7308450.0 (0.0%)
0.2.6.8 (3)            6648940.0 (0.0%)
0.2.5.8-rc (3)         6243354.0 (0.0%)
0.3.0.8-dev (2)        6238313.0 (0.0%)
0.3.0.5 (1)            5680593.0 (0.0%)
0.2.6.9 (6)            5626829.0 (0.0%)
0.2.7.6-dev (1)        5221677.0 (0.0%)
0.2.9.9-dev (2)        4077356.0 (0.0%)
0.2.4.21 (6)           3535245.0 (0.0%)
0.2.9.6-rc (2)         2405604.0 (0.0%)
0.2.9.5-alpha (3)      2243404.0 (0.0%)
0.2.7.2-alpha (1)      1870301.0 (0.0%)
0.2.7.1-alpha (2)      1680895.0 (0.0%)
0.2.7.1-alpha-dev (1)  1128057.0 (0.0%)
0.2.4.19 (3)           944428.0 (0.0%)
0.2.8.10-dev (1)       326955.0 (0.0%)
0.2.9.10-dev (1)       262963.0 (0.0%)
0.3.0.1-alpha-dev (1)  129774.0 (0.0%)
0.3.0.6-dev (1)        108326.0 (0.0%)
0.2.7.4-rc (1)         93549.0 (0.0%)
0.2.5.6-alpha (1)      91832.0 (0.0%)


Copyright (C) 2017 by Tor Diversity Project <tdp@torbsd.org>
All Rights Reserved.

Released under an ISC license; see the GitHub repository
for details at https://github.com/torbsd/tdp-onion-stats
