
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Date: Fri Jun 30 20:24:01 UTC 2017
Data Source: https://onionoo.torproject.org

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NUMBER

AS (count)        BANDWIDTH
================  =============================================================
TOTAL (7087)      29037537051.0
AS16276 (597)     4442107987.0 (15.3%)
AS12876 (422)     3335545750.0 (11.5%)
AS24940 (346)     1828234828.0 (6.3%)
AS14061 (319)     1403212926.0 (4.8%)
AS24961 (60)      581560561.0 (2.0%)
AS3223 (25)       571905031.0 (2.0%)
AS63949 (229)     340823704.0 (1.2%)
AS8972 (29)       303026162.0 (1.0%)
AS202018 (49)     271499118.0 (0.9%)
AS8560 (27)       265093261.0 (0.9%)
AS6939 (13)       262634022.0 (0.9%)
AS15626 (33)      234698532.0 (0.8%)
AS1103 (6)        224136699.0 (0.8%)
AS60781 (43)      221245804.0 (0.8%)
AS35366 (35)      217339041.0 (0.7%)
AS13030 (26)      196548020.0 (0.7%)
AS51395 (27)      193261216.0 (0.7%)
AS3265 (38)       189382410.0 (0.7%)
AS42730 (20)      183552051.0 (0.6%)
AS8100 (30)       182846285.0 (0.6%)
AS3320 (218)      177279054.0 (0.6%)
AS5577 (17)       175929353.0 (0.6%)
AS51167 (41)      173796197.0 (0.6%)
AS31103 (31)      173759622.0 (0.6%)
AS52173 (37)      171800599.0 (0.6%)
AS197019 (29)     152879484.0 (0.5%)
AS20473 (80)      147739973.0 (0.5%)
AS43350 (9)       147496526.0 (0.5%)
AS58073 (5)       142242428.0 (0.5%)
AS28753 (17)      139694970.0 (0.5%)
AS5578 (4)        136293059.0 (0.5%)
AS60118 (2)       136284526.0 (0.5%)
AS200651 (36)     136269326.0 (0.5%)
AS50989 (8)       135208710.0 (0.5%)
AS43289 (22)      132590495.0 (0.5%)
AS51852 (20)      129117640.0 (0.4%)
AS395089 (6)      128927039.0 (0.4%)
AS3 (13)          127304963.0 (0.4%)
AS49367 (14)      124672870.0 (0.4%)
AS395978 (1)      122341109.0 (0.4%)
AS198093 (8)      120353216.0 (0.4%)
AS701 (41)        118424796.0 (0.4%)
AS20773 (18)      116217670.0 (0.4%)
AS55053 (61)      114818033.0 (0.4%)
AS49981 (13)      113397576.0 (0.4%)
null (16)         107937838.0 (0.4%)
AS60729 (6)       106707011.0 (0.4%)
AS680 (18)        105452942.0 (0.4%)
AS174 (19)        102928077.0 (0.4%)
AS1101 (3)        102564084.0 (0.4%)
AS6830 (120)      96672180.0 (0.3%)
AS197422 (3)      94731153.0 (0.3%)
AS4224 (11)       93290919.0 (0.3%)
AS1739 (10)       90151446.0 (0.3%)
AS2116 (6)        81736358.0 (0.3%)
AS43557 (7)       81269693.0 (0.3%)
AS12322 (57)      79307497.0 (0.3%)
AS197988 (14)     78804511.0 (0.3%)
AS3215 (38)       76763342.0 (0.3%)
AS43317 (16)      75867506.0 (0.3%)
AS8437 (8)        75866298.0 (0.3%)
AS32097 (11)      75626504.0 (0.3%)
AS62744 (5)       75254785.0 (0.3%)
AS16125 (16)      73870506.0 (0.3%)
AS58277 (6)       68266564.0 (0.2%)
AS7922 (113)      67713135.0 (0.2%)
AS1273 (10)       67206345.0 (0.2%)
AS197922 (13)     67138915.0 (0.2%)
AS47610 (4)       66102495.0 (0.2%)
AS9009 (30)       65264029.0 (0.2%)
AS197540 (25)     64835421.0 (0.2%)
AS2119 (33)       64187428.0 (0.2%)
AS51765 (10)      64118680.0 (0.2%)
AS1653 (6)        62961630.0 (0.2%)
AS49453 (4)       62680854.0 (0.2%)
AS39798 (14)      62034178.0 (0.2%)
AS8473 (27)       61986896.0 (0.2%)
AS35425 (9)       61169786.0 (0.2%)
AS50673 (10)      60089517.0 (0.2%)
AS57963 (7)       58126516.0 (0.2%)
AS6724 (30)       57785221.0 (0.2%)
AS56322 (10)      56347786.0 (0.2%)
AS29278 (1)       56282760.0 (0.2%)
AS57043 (8)       54143891.0 (0.2%)
AS13213 (10)      53906067.0 (0.2%)
AS43847 (20)      52692117.0 (0.2%)
AS200052 (8)      51942258.0 (0.2%)
AS47277 (3)       51051525.0 (0.2%)
AS16591 (12)      50589168.0 (0.2%)
AS6461 (4)        50387820.0 (0.2%)
AS23028 (6)       49831437.0 (0.2%)
AS21100 (6)       48897782.0 (0.2%)
AS1759 (15)       48547407.0 (0.2%)
AS8402 (33)       47270003.0 (0.2%)
AS54290 (9)       46756684.0 (0.2%)
AS50360 (5)       45431698.0 (0.2%)
AS28715 (8)       45213630.0 (0.2%)
AS1136 (15)       45192612.0 (0.2%)
AS12586 (8)       44930751.0 (0.2%)
AS57860 (2)       44470271.0 (0.2%)
AS3301 (21)       43951109.0 (0.2%)
AS25596 (4)       43935528.0 (0.2%)
AS133165 (43)     42855133.0 (0.1%)
AS44220 (9)       42171442.0 (0.1%)
AS1257 (3)        41949076.0 (0.1%)
AS5408 (14)       39846347.0 (0.1%)
AS16509 (41)      39802682.0 (0.1%)
AS44066 (6)       39742667.0 (0.1%)
AS24800 (3)       38685373.0 (0.1%)
AS52048 (4)       38319033.0 (0.1%)
AS29182 (9)       38218885.0 (0.1%)
AS49335 (12)      37177494.0 (0.1%)
AS42610 (21)      37128724.0 (0.1%)
AS200519 (1)      36946246.0 (0.1%)
AS196689 (8)      35667358.0 (0.1%)
AS5483 (7)        35148768.0 (0.1%)
AS53667 (15)      34411939.0 (0.1%)
AS50266 (2)       34278396.0 (0.1%)
AS12714 (17)      33616705.0 (0.1%)
AS25198 (4)       33498384.0 (0.1%)
AS48635 (13)      33317981.0 (0.1%)
AS35807 (8)       33237855.0 (0.1%)
AS197328 (5)      33111704.0 (0.1%)
AS6315 (5)        32781276.0 (0.1%)
AS1835 (3)        32712340.0 (0.1%)
AS31334 (63)      32277503.0 (0.1%)
AS16086 (17)      31961313.0 (0.1%)
AS15003 (3)       31764683.0 (0.1%)
AS36352 (20)      31339848.0 (0.1%)
AS18451 (1)       30935920.0 (0.1%)
AS8767 (21)       30516130.0 (0.1%)
AS201773 (1)      30470127.0 (0.1%)
AS8075 (17)       30426005.0 (0.1%)
AS29691 (6)       29187861.0 (0.1%)
AS135340 (21)     28902019.0 (0.1%)
AS42541 (3)       28372750.0 (0.1%)
AS2828 (6)        28227504.0 (0.1%)
AS24806 (11)      27972677.0 (0.1%)
AS199968 (1)      27114611.0 (0.1%)
AS51815 (3)       26923576.0 (0.1%)
AS201011 (7)      26885440.0 (0.1%)
AS13188 (9)       26751059.0 (0.1%)
AS15557 (18)      26632450.0 (0.1%)
AS14907 (2)       26539828.0 (0.1%)
AS9167 (1)        25685367.0 (0.1%)
AS60404 (6)       25580081.0 (0.1%)
AS36351 (19)      25579835.0 (0.1%)
AS51862 (1)       25465223.0 (0.1%)
AS7018 (20)       25324315.0 (0.1%)
AS35017 (13)      25231732.0 (0.1%)
AS201401 (1)      25187144.0 (0.1%)
AS49544 (3)       24645219.0 (0.1%)
AS29073 (6)       24081541.0 (0.1%)
AS30736 (3)       24062728.0 (0.1%)
AS44716 (1)       23800686.0 (0.1%)
AS35592 (4)       23776199.0 (0.1%)
AS57169 (9)       23738004.0 (0.1%)
AS15154 (1)       23605628.0 (0.1%)
AS133752 (8)      23472521.0 (0.1%)
AS32338 (1)       23467154.0 (0.1%)
AS14613 (1)       23241261.0 (0.1%)
AS44133 (2)       23229484.0 (0.1%)
AS31400 (18)      22890820.0 (0.1%)
AS62088 (5)       22812278.0 (0.1%)
AS3352 (10)       22570311.0 (0.1%)
AS48031 (7)       22531531.0 (0.1%)
AS1853 (1)        22356765.0 (0.1%)
AS8283 (4)        22065393.0 (0.1%)
AS9143 (21)       22029704.0 (0.1%)
AS5650 (13)       21917260.0 (0.1%)
AS31034 (14)      21627616.0 (0.1%)
AS35662 (2)       21557670.0 (0.1%)
AS209 (15)        21511758.0 (0.1%)
AS39309 (9)       21498383.0 (0.1%)
AS8708 (8)        21145015.0 (0.1%)
AS41011 (3)       20991862.0 (0.1%)
