
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Wed Jan  3 18:14:21 UTC 2018
Data Source: https://onionoo.torproject.org/details

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NUMBER

AS (records)      CONSENSUS_WEIGHT_FRAC
================  =============================================================
AS35540 (2)       0.0%
AS6876 (1)        0.0%
AS2727 (1)        0.0%
AS13285 (2)       0.0%
AS10029 (2)       0.0%
AS2510 (1)        0.0%
AS3308 (2)        0.0%
AS25486 (3)       0.0%
AS45413 (1)       0.0%
AS11232 (1)       0.0%
AS15925 (1)       0.0%
AS7029 (2)        0.0%
AS12436 (1)       0.0%
AS12066 (1)       0.0%
AS21250 (1)       0.0%
AS6849 (1)        0.0%
AS15732 (1)       0.0%
AS42652 (2)       0.0%
AS202618 (1)      0.0%
AS36454 (1)       0.0%
AS59444 (1)       0.0%
AS17676 (4)       0.0%
AS395374 (1)      0.0%
AS10242 (2)       0.0%
AS11260 (1)       0.0%
AS39554 (1)       0.0%
AS48716 (2)       0.0%
AS8462 (1)        0.0%
AS34240 (1)       0.0%
AS36236 (1)       0.0%
AS8553 (1)        0.0%
AS46606 (1)       0.0%
AS32277 (1)       0.0%
AS5760 (2)        0.0%
AS9443 (2)        0.0%
AS1901 (2)        0.0%
AS61189 (1)       0.0%
AS760 (1)         0.0%
AS20580 (1)       0.0%
AS2518 (2)        0.0%
AS1764 (1)        0.0%
AS198185 (1)      0.0%
AS17139 (1)       0.0%
AS25577 (4)       0.0%
AS1299 (1)        0.0%
AS56510 (1)       0.0%
AS62454 (1)       0.0%
AS15657 (1)       0.0%
AS29287 (1)       0.0%
AS34065 (1)       0.0%
AS12390 (1)       0.0%
AS39135 (1)       0.0%
AS41230 (1)       0.0%
AS42145 (1)       0.0%
AS136393 (2)      0.0%
AS4721 (1)        0.0%
AS6659 (1)        0.0%
AS41272 (1)       0.0%
AS30740 (1)       0.0%
AS200000 (1)      0.0%
AS8820 (1)        0.0%
AS50577 (1)       0.0%
AS29422 (2)       0.0%
AS28707 (1)       0.0%
AS34383 (1)       0.0%
AS25653 (1)       0.0%
AS9829 (3)        0.0%
AS3262 (1)        0.0%
AS36903 (2)       0.0%
AS39741 (1)       0.0%
AS12337 (1)       0.0%
AS28769 (1)       0.0%
AS2614 (1)        0.0%
AS15640 (1)       0.0%
AS12570 (1)       0.0%
AS3663 (1)        0.0%
AS35432 (1)       0.0%
AS559 (1)         0.0%
AS46375 (2)       0.0%
AS33824 (1)       0.0%
AS24641 (1)       0.0%
AS28006 (1)       0.0%
AS53292 (1)       0.0%
AS48654 (1)       0.0%
AS199320 (1)      0.0%
AS3323 (1)        0.0%
AS26599 (1)       0.0%
AS46475 (1)       0.0%
AS31148 (1)       0.0%
AS7765 (1)        0.0%
AS47377 (1)       0.0%
AS16652 (1)       0.0%
AS8331 (1)        0.0%
AS35158 (1)       0.0%
AS5056 (1)        0.0%
AS41931 (1)       0.0%
AS14987 (1)       0.0%
AS50472 (1)       0.0%
AS13045 (1)       0.0%
AS7552 (1)        0.0%
AS23201 (1)       0.0%
AS9136 (3)        0.0%
AS5603 (1)        0.0%
AS35761 (1)       0.0%
AS14259 (1)       0.0%
AS9063 (1)        0.0%
AS2609 (2)        0.0%
AS198385 (1)      0.0%
AS43274 (1)       0.0%
AS34315 (1)       0.0%
AS17488 (1)       0.0%
AS20454 (1)       0.0%
AS34975 (1)       0.0%
AS49218 (1)       0.0%
AS262197 (1)      0.0%
AS52284 (1)       0.0%
AS50212 (1)       0.0%
AS1241 (2)        0.0%
AS13122 (1)       0.0%
AS12793 (1)       0.0%
AS10143 (1)       0.0%
AS34171 (1)       0.0%
AS10318 (2)       0.0%
AS3329 (1)        0.0%
AS17813 (1)       0.0%
AS8779 (1)        0.0%
AS12400 (1)       0.0%
AS15735 (1)       0.0%
AS51035 (1)       0.0%
AS10594 (1)       0.0%
AS13977 (1)       0.0%
AS8386 (1)        0.0%
AS59610 (1)       0.0%
AS31036 (1)       0.0%
AS8047 (1)        0.0%
AS61317 (1)       0.0%
AS39351 (1)       0.0%
AS41798 (1)       0.0%
AS4804 (1)        0.0%
AS12355 (1)       0.0%
AS13525 (1)       0.0%
AS38680 (1)       0.0%
AS8920 (1)        0.0%
AS45595 (1)       0.0%
AS51343 (1)       0.0%
AS42811 (1)       0.0%
AS18390 (1)       0.0%
AS58551 (1)       0.0%
AS55720 (1)       0.0%
AS47395 (1)       0.0%
AS7303 (1)        0.0%
AS37693 (1)       0.0%
AS36947 (1)       0.0%
AS30873 (1)       0.0%
AS49223 (1)       0.0%
AS63178 (1)       0.0%
AS6713 (1)        0.0%


Copyright (C) 2017 by Tor Diversity Project <info@torbsd.org>
All Rights Reserved.

Released under an ISC license; see the GitHub repository
for details at https://github.com/torbsd/tdp-onion-stats/
