
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:31 UTC 2018
Data Source: https://onionoo.torproject.org/details

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NUMBER

AS (records)      BANDWIDTH
AS262603 (1)      1378098 (0.0%)
AS58222 (1)       1366378 (0.0%)
AS15527 (2)       1355570 (0.0%)
AS31357 (1)       1347584 (0.0%)
AS15435 (1)       1337344 (0.0%)
AS29471 (1)       1336771 (0.0%)
AS8412 (1)        1330221 (0.0%)
AS199267 (1)      1324399 (0.0%)
AS30968 (1)       1324032 (0.0%)
AS9299 (1)        1322533 (0.0%)
AS42994 (1)       1321923 (0.0%)
AS29485 (1)       1318824 (0.0%)
AS46015 (1)       1311744 (0.0%)
AS41931 (1)       1310720 (0.0%)
AS38478 (1)       1305866 (0.0%)
AS59564 (1)       1303577 (0.0%)
AS34139 (1)       1301939 (0.0%)
AS9506 (1)        1300421 (0.0%)
AS4385 (2)        1299986 (0.0%)
AS5466 (1)        1297408 (0.0%)
AS1741 (1)        1294587 (0.0%)
AS59939 (1)       1293726 (0.0%)
AS18101 (1)       1290452 (0.0%)
AS132335 (2)      1288908 (0.0%)
AS50837 (1)       1288641 (0.0%)
AS20738 (1)       1288261 (0.0%)
AS49608 (1)       1287503 (0.0%)
AS3188 (1)        1285738 (0.0%)
AS17506 (1)       1281024 (0.0%)
AS29314 (2)       1277066 (0.0%)
AS4694 (1)        1275802 (0.0%)
AS33588 (1)       1273822 (0.0%)
AS15547 (2)       1272962 (0.0%)
AS198371 (1)      1261774 (0.0%)
AS203523 (1)      1261568 (0.0%)
AS4150 (1)        1261189 (0.0%)
AS35348 (1)       1254506 (0.0%)
AS19318 (1)       1252381 (0.0%)
AS50840 (1)       1245667 (0.0%)
AS16242 (1)       1241396 (0.0%)
AS51430 (1)       1238875 (0.0%)
AS1161 (1)        1234888 (0.0%)
AS41966 (1)       1234110 (0.0%)
AS17098 (1)       1233655 (0.0%)
AS57389 (1)       1229189 (0.0%)
AS44592 (1)       1227504 (0.0%)
AS202023 (1)      1225878 (0.0%)
AS24466 (1)       1225032 (0.0%)
AS9500 (2)        1224136 (0.0%)
AS206587 (1)      1223486 (0.0%)
AS61440 (1)       1223374 (0.0%)
AS32400 (1)       1223061 (0.0%)
AS40788 (1)       1218715 (0.0%)
AS28573 (5)       1217960 (0.0%)
AS31242 (1)       1216720 (0.0%)
AS12993 (1)       1216590 (0.0%)
AS53111 (1)       1215239 (0.0%)
AS15728 (1)       1213558 (0.0%)
AS1955 (1)        1211444 (0.0%)
AS9310 (1)        1208837 (0.0%)
AS15925 (1)       1205158 (0.0%)
AS44925 (2)       1199452 (0.0%)
AS43148 (1)       1199104 (0.0%)
AS58130 (1)       1196238 (0.0%)
AS199673 (1)      1189173 (0.0%)
AS15615 (1)       1185246 (0.0%)
AS45027 (1)       1184412 (0.0%)
AS8866 (1)        1168119 (0.0%)
AS25764 (1)       1163798 (0.0%)
AS286 (1)         1159168 (0.0%)
AS47381 (1)       1146880 (0.0%)
AS41560 (1)       1144009 (0.0%)
AS6503 (1)        1142910 (0.0%)
AS6407 (1)        1138616 (0.0%)
AS41508 (1)       1118058 (0.0%)
AS27364 (2)       1117059 (0.0%)
AS52423 (1)       1114892 (0.0%)
AS20676 (9)       1108504 (0.0%)
AS20130 (1)       1083928 (0.0%)
AS55933 (7)       1081535 (0.0%)
AS198031 (2)      1077722 (0.0%)
AS17676 (2)       1051284 (0.0%)
AS34086 (1)       1045374 (0.0%)
AS13127 (2)       1022476 (0.0%)
AS15817 (1)       999408 (0.0%)
AS8443 (1)        992173 (0.0%)
AS4760 (1)        989349 (0.0%)
AS38790 (1)       981555 (0.0%)
AS29405 (1)       957592 (0.0%)
AS2514 (3)        950989 (0.0%)
AS41843 (1)       939353 (0.0%)
AS203476 (1)      937984 (0.0%)
AS48716 (2)       925175 (0.0%)
AS7477 (2)        901228 (0.0%)
AS11814 (1)       890267 (0.0%)
AS60548 (1)       878521 (0.0%)
AS54290 (1)       875414 (0.0%)
AS10318 (2)       874382 (0.0%)
AS44684 (1)       858306 (0.0%)
AS30764 (2)       845821 (0.0%)
AS63734 (1)       844815 (0.0%)
AS393552 (1)      840818 (0.0%)
AS8749 (1)        836321 (0.0%)
AS60140 (1)       797860 (0.0%)
AS34747 (1)       791387 (0.0%)
AS20021 (1)       769927 (0.0%)
AS15962 (2)       767623 (0.0%)
AS12578 (1)       763145 (0.0%)
AS25853 (1)       761276 (0.0%)
AS9790 (2)        732215 (0.0%)
AS4685 (1)        732160 (0.0%)
AS17139 (2)       727241 (0.0%)
AS1403 (2)        726796 (0.0%)
AS51191 (1)       724395 (0.0%)
AS18812 (1)       720725 (0.0%)
AS199118 (1)      719338 (0.0%)
AS25820 (1)       716978 (0.0%)
AS17705 (1)       709906 (0.0%)
AS19994 (2)       707195 (0.0%)
AS802 (1)         700019 (0.0%)
AS49290 (1)       679936 (0.0%)
AS8228 (2)        676313 (0.0%)
AS7489 (1)        667418 (0.0%)
AS5390 (1)        666578 (0.0%)
AS51059 (1)       664935 (0.0%)
AS28908 (1)       657964 (0.0%)
AS19237 (1)       656481 (0.0%)
AS45031 (1)       655870 (0.0%)
AS13272 (1)       655068 (0.0%)
AS48366 (1)       654325 (0.0%)
AS20853 (1)       648996 (0.0%)
AS29413 (1)       648389 (0.0%)
AS62943 (1)       648031 (0.0%)
AS250 (1)         646221 (0.0%)
AS25560 (3)       644370 (0.0%)
AS38197 (1)       633742 (0.0%)
AS200753 (1)      632805 (0.0%)
AS25577 (4)       629635 (0.0%)
AS34145 (1)       627712 (0.0%)
AS22709 (1)       621672 (0.0%)
AS45654 (1)       617819 (0.0%)
AS29208 (1)       613756 (0.0%)
AS40029 (1)       613080 (0.0%)
AS9371 (1)        612157 (0.0%)
AS4802 (1)        610304 (0.0%)
AS16160 (1)       608645 (0.0%)
AS17054 (1)       606178 (0.0%)
AS44869 (1)       605215 (0.0%)
AS18403 (1)       601846 (0.0%)
AS16281 (1)       597881 (0.0%)
AS31148 (1)       591222 (0.0%)
AS199653 (1)      589389 (0.0%)
AS136052 (1)      582887 (0.0%)
AS29252 (1)       577536 (0.0%)
AS20375 (1)       576512 (0.0%)
AS7418 (1)        572569 (0.0%)
AS9158 (1)        571378 (0.0%)
AS9381 (1)        569386 (0.0%)
AS35470 (2)       550388 (0.0%)
AS14677 (1)       549042 (0.0%)
AS58319 (1)       546304 (0.0%)
AS18978 (1)       545792 (0.0%)
AS12897 (2)       544240 (0.0%)
AS266280 (1)      534387 (0.0%)
AS51873 (1)       527775 (0.0%)
AS22847 (1)       526699 (0.0%)
AS199284 (1)      525312 (0.0%)
AS133124 (1)      517967 (0.0%)
AS13124 (1)       510648 (0.0%)
AS47692 (2)       508324 (0.0%)
AS13703 (1)       506280 (0.0%)
AS29075 (1)       500736 (0.0%)
AS29124 (1)       497715 (0.0%)
AS9370 (1)        495991 (0.0%)
AS200837 (1)      491430 (0.0%)
AS12946 (1)       472335 (0.0%)
AS201702 (1)      470674 (0.0%)
AS22925 (1)       466784 (0.0%)
AS31042 (1)       465920 (0.0%)
AS46176 (1)       462848 (0.0%)
AS45146 (1)       462273 (0.0%)
AS1764 (1)        453655 (0.0%)
AS10481 (3)       452063 (0.0%)
AS7459 (1)        446194 (0.0%)
AS6856 (1)        443196 (0.0%)
AS47850 (1)       441150 (0.0%)
AS35100 (1)       422912 (0.0%)
AS45413 (1)       421888 (0.0%)
AS198813 (1)      420015 (0.0%)
AS62240 (1)       407841 (0.0%)
AS35549 (1)       403879 (0.0%)
AS13490 (1)       403456 (0.0%)
AS42298 (1)       400384 (0.0%)
AS39857 (1)       391280 (0.0%)
AS14051 (1)       389521 (0.0%)
AS39351 (1)       386048 (0.0%)
AS18881 (4)       374005 (0.0%)
AS20278 (1)       373671 (0.0%)
AS50661 (1)       372736 (0.0%)
AS20454 (2)       369707 (0.0%)
AS197071 (1)      368651 (0.0%)
AS58010 (3)       368485 (0.0%)
AS48823 (1)       367959 (0.0%)
AS36436 (2)       365041 (0.0%)
AS812 (2)         364622 (0.0%)
AS41046 (1)       362975 (0.0%)
AS3243 (1)        359424 (0.0%)
AS32867 (1)       358400 (0.0%)
AS47987 (1)       354750 (0.0%)
AS35158 (1)       346653 (0.0%)
AS12605 (1)       343740 (0.0%)
AS23136 (1)       336456 (0.0%)
AS21032 (1)       333940 (0.0%)
AS3262 (1)        328392 (0.0%)
AS2727 (1)        321922 (0.0%)
AS6471 (1)        313344 (0.0%)
AS17511 (1)       313190 (0.0%)
AS41676 (1)       312631 (0.0%)
AS786 (1)         308364 (0.0%)
AS14828 (1)       307668 (0.0%)
AS197288 (2)      307107 (0.0%)
AS15169 (1)       306942 (0.0%)
AS31333 (1)       302985 (0.0%)
AS9443 (2)        297677 (0.0%)
AS36493 (1)       287968 (0.0%)
AS25486 (3)       281333 (0.0%)
AS12334 (1)       277250 (0.0%)
AS8400 (1)        270730 (0.0%)
AS12849 (1)       260152 (0.0%)
AS8342 (1)        259892 (0.0%)
AS13886 (1)       259435 (0.0%)
AS8612 (3)        258989 (0.0%)
AS23201 (1)       258400 (0.0%)
AS137 (1)         254975 (0.0%)
AS11138 (1)       253993 (0.0%)
AS63962 (1)       253861 (0.0%)
AS12066 (1)       249256 (0.0%)
AS200000 (2)      248116 (0.0%)
AS2152 (1)        244348 (0.0%)
AS34610 (1)       243908 (0.0%)
AS43234 (1)       240646 (0.0%)
AS8779 (2)        239981 (0.0%)
AS28220 (1)       239476 (0.0%)
AS57423 (1)       235505 (0.0%)
AS12576 (1)       235223 (0.0%)
AS17488 (2)       234558 (0.0%)
AS8820 (2)        233470 (0.0%)
AS5760 (2)        232190 (0.0%)
AS10029 (2)       225280 (0.0%)
AS60392 (1)       225079 (0.0%)
AS6752 (1)        224910 (0.0%)
AS35540 (2)       221279 (0.0%)
AS60257 (1)       220389 (0.0%)
AS200429 (1)      219677 (0.0%)
AS7029 (2)        217163 (0.0%)
AS10013 (1)       194241 (0.0%)
AS29422 (2)       190065 (0.0%)
AS16097 (1)       185081 (0.0%)
AS9063 (1)        176098 (0.0%)
AS43274 (1)       175379 (0.0%)
AS6849 (1)        173056 (0.0%)
AS9136 (3)        166887 (0.0%)
AS17813 (1)       164296 (0.0%)
AS12337 (1)       163132 (0.0%)
AS59444 (1)       157762 (0.0%)
AS3212 (1)        157696 (0.0%)
AS11232 (1)       157170 (0.0%)
AS9829 (1)        155436 (0.0%)
AS39554 (1)       154410 (0.0%)
AS202618 (1)      154106 (0.0%)
AS21250 (1)       151034 (0.0%)
AS58243 (1)       145265 (0.0%)
AS11492 (1)       142635 (0.0%)
AS7303 (2)        140482 (0.0%)
AS28707 (1)       138339 (0.0%)
AS15640 (1)       137181 (0.0%)
AS36024 (1)       132939 (0.0%)
AS25653 (1)       132096 (0.0%)
AS760 (1)         132058 (0.0%)
AS29551 (1)       128994 (0.0%)
AS34065 (1)       128844 (0.0%)
AS61189 (1)       128697 (0.0%)
AS11260 (1)       126954 (0.0%)
AS15497 (1)       126920 (0.0%)
AS136393 (2)      125327 (0.0%)
AS39135 (1)       125311 (0.0%)
AS6659 (1)        124928 (0.0%)
AS8462 (1)        124895 (0.0%)
AS559 (1)         124349 (0.0%)
AS15732 (1)       123808 (0.0%)
AS12390 (1)       123745 (0.0%)
AS13101 (1)       122857 (0.0%)
AS36236 (1)       122436 (0.0%)
AS395374 (1)      121970 (0.0%)
AS50577 (1)       121763 (0.0%)
AS37684 (1)       120441 (0.0%)
AS34240 (1)       119552 (0.0%)
AS10010 (1)       118185 (0.0%)
AS12436 (1)       116181 (0.0%)
AS33824 (1)       115635 (0.0%)
AS15657 (1)       115488 (0.0%)
AS39741 (1)       115174 (0.0%)
AS201630 (1)      115128 (0.0%)
AS28006 (1)       115038 (0.0%)
AS1299 (1)        114885 (0.0%)
AS3308 (1)        114779 (0.0%)
AS30740 (1)       114716 (0.0%)
AS199320 (1)      114677 (0.0%)
AS56510 (1)       114659 (0.0%)
AS14259 (1)       114563 (0.0%)
AS12570 (1)       114390 (0.0%)
AS35432 (1)       112407 (0.0%)
AS28769 (1)       112069 (0.0%)
AS48654 (1)       110519 (0.0%)
AS45179 (1)       109341 (0.0%)
AS132405 (1)      108595 (0.0%)
AS59610 (1)       105569 (0.0%)
AS2510 (1)        104230 (0.0%)
AS38680 (1)       103688 (0.0%)
AS36903 (2)       102427 (0.0%)
AS51343 (1)       102400 (0.0%)
AS50212 (1)       101474 (0.0%)
AS262197 (1)      97415 (0.0%)
AS56067 (1)       97280 (0.0%)
AS11796 (1)       96308 (0.0%)
AS24641 (1)       94522 (0.0%)
AS198385 (1)      93806 (0.0%)
AS12400 (1)       93184 (0.0%)
AS53292 (1)       90143 (0.0%)
AS5056 (1)        89675 (0.0%)
AS18390 (1)       88064 (0.0%)
AS3663 (1)        86982 (0.0%)
AS58551 (1)       86039 (0.0%)
AS34315 (1)       86016 (0.0%)
AS52284 (1)       85157 (0.0%)
AS13122 (1)       81617 (0.0%)
AS35000 (1)       79090 (0.0%)
AS47377 (1)       78848 (0.0%)
AS37671 (1)       76800 (0.0%)
AS31036 (1)       73843 (0.0%)
AS1901 (1)        72758 (0.0%)
AS51604 (1)       71596 (0.0%)
AS43341 (1)       69632 (0.0%)
AS10594 (1)       68498 (0.0%)
AS61317 (1)       60204 (0.0%)
AS35761 (1)       59971 (0.0%)
AS16202 (1)       59971 (0.0%)
AS54934 (1)       59870 (0.0%)
AS8920 (1)        59634 (0.0%)
AS198414 (1)      58597 (0.0%)
AS10143 (1)       58088 (0.0%)
AS16814 (1)       58011 (0.0%)
AS8047 (1)        57847 (0.0%)
AS8452 (1)        56705 (0.0%)
AS57041 (1)       56562 (0.0%)
AS11290 (1)       56346 (0.0%)
AS21021 (1)       52595 (0.0%)
AS30873 (1)       52140 (0.0%)
AS21003 (1)       45908 (0.0%)
AS12479 (1)       45056 (0.0%)
AS7738 (1)        43414 (0.0%)
AS13525 (1)       38997 (0.0%)
AS23888 (1)       37413 (0.0%)
AS47395 (1)       24636 (0.0%)
AS42396 (1)       19725 (0.0%)
AS55720 (1)       15320 (0.0%)
AS49223 (1)       9954 (0.0%)
AS35205 (1)       5292 (0.0%)
AS45595 (1)       0 (0.0%)
AS12552 (1)       0 (0.0%)
AS12668 (1)       0 (0.0%)
AS206110 (1)      0 (0.0%)


Copyright (C) 2017 by Tor Diversity Project <info@torbsd.org>
All Rights Reserved.

Released under an ISC license; see the GitHub repository
for details at https://github.com/torbsd/tdp-onion-stats/
