
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Date: Fri Jun 30 20:24:01 UTC 2017
Data Source: https://onionoo.torproject.org

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NAME

AS_NAME (count)                                          BANDWIDTH
=======================================================  ======================
TOTAL (7087)                                             29037537051.0
OVH SAS (599)                                            4442375905.0 (15.3%)
Online S.a.s. (422)                                      3335545750.0 (11.5%)
Hetzner Online GmbH (346)                                1828234828.0 (6.3%)
Digital Ocean, Inc. (432)                                1746469196.0 (6.0%)
myLoc managed IT AG (60)                                 581560561.0 (2.0%)
Voxility S.R.L. (25)                                     571905031.0 (2.0%)
Host Europe GmbH (52)                                    424231129.0 (1.5%)
Linode, LLC (229)                                        340823704.0 (1.2%)
ITL Company (51)                                         316258669.0 (1.1%)
1&1 Internet SE (27)                                     265093261.0 (0.9%)
Hurricane Electric, Inc. (13)                            262634022.0 (0.9%)
SURFnet, The Netherlands (6)                             224136699.0 (0.8%)
LeaseWeb Netherlands B.V. (43)                           221245804.0 (0.8%)
ISPpro Internet KG (35)                                  217339041.0 (0.7%)
Init7 (Switzerland) Ltd. (26)                            196548020.0 (0.7%)
SOFTplus Entwicklungen GmbH (27)                         193261216.0 (0.7%)
Xs4all Internet BV (38)                                  189382410.0 (0.7%)
EVANZO e-commerce GmbH (20)                              183552051.0 (0.6%)
QuadraNet, Inc (30)                                      182846285.0 (0.6%)
Deutsche Telekom AG (218)                                177279054.0 (0.6%)
root SA (19)                                             177146983.0 (0.6%)
Contabo GmbH (41)                                        173796197.0 (0.6%)
Keyweb AG (31)                                           173759622.0 (0.6%)
Makonix SIA (37)                                         171800599.0 (0.6%)
WEDOS Internet, a.s. (29)                                152879484.0 (0.5%)
Choopa, LLC (80)                                         147739973.0 (0.5%)
NForce Entertainment B.V. (9)                            147496526.0 (0.5%)
YISP B.V. (5)                                            142242428.0 (0.5%)
Leaseweb Deutschland GmbH (17)                           139694970.0 (0.5%)
BENESTRA, s.r.o. (4)                                     136293059.0 (0.5%)
Alistar Security Srl (2)                                 136284526.0 (0.5%)
FlokiNET ehf (36)                                        136269326.0 (0.5%)
SITAB Infrastruktur (8)                                  135208710.0 (0.5%)
I.C.S. Trabia-Network S.R.L. (22)                        132590495.0 (0.5%)
Private Layer INC (20)                                   129117640.0 (0.4%)
Hextet Systems (6)                                       128927039.0 (0.4%)
Massachusetts Institute of Technology (13)               127304963.0 (0.4%)
Seflow S.N.C. Di Marco Brame' & C. (14)                  124672870.0 (0.4%)
 (1)                                                     122341109.0 (0.4%)
Foreningen for digitala fri- och rattigheter (8)         120353216.0 (0.4%)
MCI Communications Services, Inc. d/b/a Verizon Bu (41)  118424796.0 (0.4%)
2267921 ONTARIO LTD (61)                                 114818033.0 (0.4%)
WorldStream B.V. (13)                                    113397576.0 (0.4%)
null (16)                                                107937838.0 (0.4%)
Zwiebelfreunde e.V. (6)                                  106707011.0 (0.4%)
Verein zur Foerderung eines Deutschen Forschungsne (18)  105452942.0 (0.4%)
Cogent Communications (19)                               102928077.0 (0.4%)
Not SURF Net (3)                                         102564084.0 (0.4%)
PJSC Rostelecom (54)                                     98475785.0 (0.3%)
Liberty Global Operations B.V. (120)                     96672180.0 (0.3%)
Tetaneutral.net (3)                                      94731153.0 (0.3%)
The Calyx Institute (11)                                 93290919.0 (0.3%)
TUTNET TUT Autonomous System (10)                        90151446.0 (0.3%)
Broadnet AS (7)                                          89315478.0 (0.3%)
EnergiMidt Fiberbredband A/S (7)                         81269693.0 (0.3%)
Free SAS (57)                                            79307497.0 (0.3%)
Solar Communications GmbH (14)                           78804511.0 (0.3%)
Orange (38)                                              76763342.0 (0.3%)
OOO Fishnet Communications (16)                          75867506.0 (0.3%)
Tele2 Telecommunication GmbH (8)                         75866298.0 (0.3%)
WholeSale Internet, Inc. (11)                            75626504.0 (0.3%)
Quintex Alliance Consulting (5)                          75254785.0 (0.3%)
UAB Cherry Servers (16)                                  73870506.0 (0.3%)
Telia Company AB (23)                                    69756871.0 (0.2%)
Loco Digital LTD (6)                                     68266564.0 (0.2%)
Comcast Cable Communications, LLC (113)                  67713135.0 (0.2%)
CW Vodafone Group PLC (10)                               67206345.0 (0.2%)
Techcrea Solutions SARL (13)                             67138915.0 (0.2%)
KPN B.V. (20)                                            66461062.0 (0.2%)
RWTH Aachen University (4)                               66102495.0 (0.2%)
M247 Ltd (30)                                            65264029.0 (0.2%)
netcup GmbH (25)                                         64835421.0 (0.2%)
Telenor Norge AS (33)                                    64187428.0 (0.2%)
Oy Creanova Hosting Solutions Ltd. (10)                  64118680.0 (0.2%)
SUNET SUNET Swedish University Network (6)               62961630.0 (0.2%)
Global Layer B.V. (4)                                    62680854.0 (0.2%)
MivoCloud SRL (14)                                       62034178.0 (0.2%)
Bahnhof Internet AB (27)                                 61986896.0 (0.2%)
Bytemark Limited (9)                                     61169786.0 (0.2%)
Serverius Holding B.V. (10)                              60089517.0 (0.2%)
Lynet Internett AS (7)                                   58126516.0 (0.2%)
Strato AG (30)                                           57785221.0 (0.2%)
ServerAstra Kft. (10)                                    56347786.0 (0.2%)
Deninet KFT (1)                                          56282760.0 (0.2%)
Amazon.com, Inc. (50)                                    54204448.0 (0.2%)
Hostkey B.v. (8)                                         54143891.0 (0.2%)
UK-2 Limited (10)                                        53906067.0 (0.2%)
Martin Prager trading as NbIServ (20)                    52692117.0 (0.2%)
Joshua Peter McQuistan (8)                               51942258.0 (0.2%)
Simon Frerichs (3)                                       51051525.0 (0.2%)
Google Fiber Inc. (12)                                   50589168.0 (0.2%)
Zayo Bandwidth Inc (4)                                   50387820.0 (0.2%)
Team Cymru Inc. (6)                                      49831437.0 (0.2%)
Telia Finland Oyj (15)                                   48547407.0 (0.2%)
VimpelCom (33)                                           47270003.0 (0.2%)
Hostwinds LLC. (9)                                       46756684.0 (0.2%)
Tamatiya EOOD (5)                                        45431698.0 (0.2%)
DataClub S.A. (5)                                        45372510.0 (0.2%)
Brass Horn Communications (8)                            45213630.0 (0.2%)
GHOSTnet GmbH (8)                                        44930751.0 (0.2%)
Zencurity ApS (2)                                        44470271.0 (0.2%)
Cambrium IT Services B.V. (4)                            43935528.0 (0.2%)
Parfumuri Femei.com SRL (9)                              42171442.0 (0.1%)
TELE2 (3)                                                41949076.0 (0.1%)
Greek Research and Technology Network S.A (14)           39846347.0 (0.1%)
First Colo GmbH (6)                                      39742667.0 (0.1%)
IP-Only Networks AB (4)                                  38714576.0 (0.1%)
BornFiber Service Provider ApS (3)                       38685373.0 (0.1%)
JSC ISPsystem (9)                                        38218885.0 (0.1%)
Mir Telematiki Ltd (12)                                  37177494.0 (0.1%)
NYNEX satellite OHG (1)                                  36946246.0 (0.1%)
JSC ER-Telecom Holding (19)                              36911003.0 (0.1%)
Digicube sas (8)                                         35667358.0 (0.1%)
Time Warner Cable Internet LLC (50)                      35170527.0 (0.1%)
Magyar Telekom plc. (7)                                  35148768.0 (0.1%)
FranTech Solutions (15)                                  34411939.0 (0.1%)
T-Mobile Thuis BV (2)                                    34278396.0 (0.1%)
Net By Net Holding LLC (17)                              33616705.0 (0.1%)
Netaction Telecom Srl-d (4)                              33498384.0 (0.1%)
PCextreme B.V. (13)                                      33317981.0 (0.1%)
SkyNet Ltd. (8)                                          33237855.0 (0.1%)
Istanbuldc Veri Merkezi Ltd. Sti (5)                     33111704.0 (0.1%)
XMission, L.C. (5)                                       32781276.0 (0.1%)
Danish network for Research and Education (3)            32712340.0 (0.1%)
Vodafone Kabel Deutschland GmbH (63)                     32277503.0 (0.1%)
DNA Oyj (17)                                             31961313.0 (0.1%)
Nobis Technology Group, LLC (3)                          31764683.0 (0.1%)
ColoCrossing (20)                                        31339848.0 (0.1%)
LES.NET (1)                                              30935920.0 (0.1%)
M-net Telekommunikations GmbH (21)                       30516130.0 (0.1%)
University of Warwick (1)                                30470127.0 (0.1%)
Microsoft Corporation (17)                               30426005.0 (0.1%)
SFR (21)                                                 29874512.0 (0.1%)
