
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:30 UTC 2018
Data Source: https://onionoo.torproject.org/details

COUNTS BY TOR VERSION

VERS                    COUNT
======================  =======================================================
TOTAL (6059)            6059
0.3.1.9                 1732 (28.6%)
0.3.2.9                 925 (15.3%)
0.2.9.14                715 (11.8%)
0.2.5.16                365 (6.0%)
0.2.9.11                261 (4.3%)
0.2.7.6                 255 (4.2%)
0.3.2.8-rc              241 (4.0%)
0.3.1.7                 192 (3.2%)
0.3.1.8                 186 (3.1%)
0.3.0.10                154 (2.5%)
0.3.0.9                 117 (1.9%)
0.2.4.27                95 (1.6%)
0.2.4.29                94 (1.6%)
0.2.9.10                91 (1.5%)
0.2.5.14                87 (1.4%)
0.2.9.12                64 (1.1%)
0.2.5.12                62 (1.0%)
0.2.4.23                55 (0.9%)
0.3.0.13                43 (0.7%)
0.2.9.9                 38 (0.6%)
0.2.6.10                33 (0.5%)
0.3.3.0-alpha-dev       22 (0.4%)
0.2.9.13                19 (0.3%)
0.3.0.13-dev            18 (0.3%)
0.3.0.8                 16 (0.3%)
0.2.5.10                11 (0.2%)
0.2.8.8                 10 (0.2%)
0.3.1.5-alpha           10 (0.2%)
0.2.9.8                 10 (0.2%)
0.2.4.20                9 (0.1%)
0.3.2.6-alpha           9 (0.1%)
0.2.8.12                8 (0.1%)
0.2.4.22                8 (0.1%)
0.2.8.9                 8 (0.1%)
0.2.4.24                8 (0.1%)
0.3.2.3-alpha           7 (0.1%)
0.3.1.2-alpha-dev       7 (0.1%)
0.2.6.0-alpha-dev       6 (0.1%)
0.2.4.21                5 (0.1%)
0.3.0.7                 5 (0.1%)
0.2.8.7                 5 (0.1%)
0.2.5.15                4 (0.1%)
0.3.2.7-rc              4 (0.1%)
0.2.7.5                 4 (0.1%)
0.3.0.11                4 (0.1%)
0.3.2.2-alpha           4 (0.1%)
0.2.8.11                4 (0.1%)
0.2.8.6                 3 (0.0%)
0.2.6.9                 3 (0.0%)
0.3.0.1-alpha           2 (0.0%)
0.3.1.4-alpha           2 (0.0%)
0.3.2.1-alpha           2 (0.0%)
0.2.8.2-alpha           2 (0.0%)
0.2.5.8-rc              1 (0.0%)
0.2.8.10-dev            1 (0.0%)
0.2.6.8                 1 (0.0%)
0.3.0.6-dev             1 (0.0%)
0.3.2.0-alpha-dev       1 (0.0%)
0.3.2.8-rc-dev          1 (0.0%)
0.2.6.7                 1 (0.0%)
0.3.2.4-alpha           1 (0.0%)
0.3.0.12                1 (0.0%)
0.2.8.10                1 (0.0%)
0.3.0.6                 1 (0.0%)
0.2.7.4-rc              1 (0.0%)
0.2.7.1-alpha           1 (0.0%)
0.3.0.4-rc              1 (0.0%)
0.3.1.7-dev             1 (0.0%)


Copyright (C) 2017 by Tor Diversity Project <info@torbsd.org>
All Rights Reserved.

Released under an ISC license; see the GitHub repository
for details at https://github.com/torbsd/tdp-onion-stats/
