
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:31 UTC 2018
Data Source: https://onionoo.torproject.org/details

CONSENSUS WEIGHT FRACTION BY COUNTRY

COUNTRY (records)  CONSENSUS_WEIGHT_FRAC
================  =============================================================
de (1248)         21.9%
fr (809)          18.0%
us (1037)         12.1%
nl (447)          11.3%
ca (233)          6.0%
se (165)          3.3%
ch (140)          3.1%
gb (219)          3.0%
ru (242)          2.7%
ro (89)           2.5%
pl (102)          1.6%
ua (86)           1.1%
dk (44)           0.9%
lr (1)            0.9%
no (43)           0.9%
fi (65)           0.9%
bg (74)           0.8%
cz (73)           0.8%
at (45)           0.7%
hu (30)           0.7%
ie (26)           0.6%
md (47)           0.6%
sc (14)           0.6%
es (52)           0.6%
it (63)           0.5%
sk (15)           0.5%
pa (6)            0.4%
lu (10)           0.3%
lv (31)           0.3%
lt (27)           0.3%
pt (10)           0.2%
be (25)           0.2%
jp (87)           0.2%
tr (11)           0.2%
gr (21)           0.2%
sg (51)           0.1%
il (11)           0.1%
is (18)           0.1%
ee (6)            0.1%
in (44)           0.1%
au (53)           0.1%
cr (11)           0.0%
al (5)            0.0%
kn (2)            0.0%
kr (16)           0.0%
br (33)           0.0%
cy (3)            0.0%
tw (12)           0.0%
hk (22)           0.0%
null (21)         0.0%
hr (4)            0.0%
my (15)           0.0%
bz (1)            0.0%
mx (5)            0.0%
si (3)            0.0%
nz (12)           0.0%
za (4)            0.0%
am (3)            0.0%
ar (18)           0.0%
co (1)            0.0%
kg (4)            0.0%
vn (6)            0.0%
rs (3)            0.0%
id (6)            0.0%
im (2)            0.0%
ph (1)            0.0%
mo (1)            0.0%
cl (3)            0.0%
ae (1)            0.0%
kz (2)            0.0%
th (4)            0.0%
mn (1)            0.0%
ad (1)            0.0%
qa (1)            0.0%
ec (1)            0.0%
do (1)            0.0%
ke (1)            0.0%
eg (1)            0.0%
tn (1)            0.0%
py (1)            0.0%
ma (2)            0.0%
pk (2)            0.0%
ly (1)            0.0%
ye (1)            0.0%


Copyright (C) 2017 by Tor Diversity Project <info@torbsd.org>
All Rights Reserved.

Released under an ISC license; see the GitHub repository
for details at https://github.com/torbsd/tdp-onion-stats/
