
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:29 UTC 2018
Data Source: https://onionoo.torproject.org/details

NETWORK BANDWIDTH BY TOR VERSION

VERS (records)          BANDWIDTH
======================  =======================================================
TOTAL (6059)            26161946342
0.3.1.9 (1732)          8550079572 (32.7%)
0.3.2.9 (925)           5119869269 (19.6%)
0.3.2.8-rc (241)        2368863838 (9.1%)
0.2.9.14 (715)          2037423977 (7.8%)
0.3.1.8 (186)           1278646243 (4.9%)
0.2.9.11 (261)          1007737722 (3.9%)
0.2.5.16 (365)          861836894 (3.3%)
0.3.1.7 (192)           737696109 (2.8%)
0.3.0.10 (154)          733176455 (2.8%)
0.3.0.13-dev (18)       536299520 (2.0%)
0.2.7.6 (255)           512267656 (2.0%)
0.2.9.9 (38)            323282205 (1.2%)
0.3.3.0-alpha-dev (22)  265611361 (1.0%)
0.2.4.27 (95)           209414494 (0.8%)
0.2.9.10 (91)           204637507 (0.8%)
0.2.9.12 (64)           188317672 (0.7%)
0.3.0.9 (117)           165102948 (0.6%)
0.2.5.14 (87)           160334374 (0.6%)
0.2.5.12 (62)           127211468 (0.5%)
0.2.4.29 (94)           101661294 (0.4%)
0.2.9.13 (19)           70680122 (0.3%)
0.3.1.5-alpha (10)      66172387 (0.3%)
0.2.4.23 (55)           54688402 (0.2%)
0.3.2.6-alpha (9)       48563050 (0.2%)
0.3.0.7 (5)             43314753 (0.2%)
0.2.6.10 (33)           39790762 (0.2%)
0.3.0.8 (16)            35627243 (0.1%)
0.2.5.10 (11)           30058491 (0.1%)
0.3.0.11 (4)            24776527 (0.1%)
0.2.9.8 (10)            23598022 (0.1%)
0.2.6.0-alpha-dev (6)   22320877 (0.1%)
0.3.2.2-alpha (4)       20046911 (0.1%)
0.3.0.13 (43)           19584804 (0.1%)
0.2.8.12 (8)            18113361 (0.1%)
0.2.4.20 (9)            17625723 (0.1%)
0.3.0.1-alpha (2)       14469980 (0.1%)
0.2.8.7 (5)             14024959 (0.1%)
0.3.2.7-rc (4)          12065304 (0.0%)
0.3.2.3-alpha (7)       11978664 (0.0%)
0.2.5.15 (4)            11669950 (0.0%)
0.3.2.1-alpha (2)       10982411 (0.0%)
0.2.8.8 (10)            10617109 (0.0%)
0.2.4.24 (8)            7750048 (0.0%)
0.2.7.5 (4)             6918643 (0.0%)
0.2.8.11 (4)            5481788 (0.0%)
0.2.8.10 (1)            4934785 (0.0%)
0.2.4.21 (5)            4324796 (0.0%)
0.2.8.9 (8)             3813389 (0.0%)
0.3.1.4-alpha (2)       3768574 (0.0%)
0.2.4.22 (8)            2443613 (0.0%)
0.3.1.2-alpha-dev (7)   2025434 (0.0%)
0.2.5.8-rc (1)          1959034 (0.0%)
0.2.6.8 (1)             1573248 (0.0%)
0.2.7.1-alpha (1)       1570816 (0.0%)
0.2.8.6 (3)             995486 (0.0%)
0.3.2.0-alpha-dev (1)   638190 (0.0%)
0.2.8.2-alpha (2)       512324 (0.0%)
0.2.6.9 (3)             486203 (0.0%)
0.3.1.7-dev (1)         468993 (0.0%)
0.3.0.12 (1)            463187 (0.0%)
0.2.8.10-dev (1)        331173 (0.0%)
0.3.2.4-alpha (1)       306406 (0.0%)
0.3.0.4-rc (1)          246833 (0.0%)
0.3.0.6 (1)             195837 (0.0%)
0.3.0.6-dev (1)         183245 (0.0%)
0.2.6.7 (1)             182229 (0.0%)
0.2.7.4-rc (1)          68088 (0.0%)
0.3.2.8-rc-dev (1)      63590 (0.0%)


Copyright (C) 2017 by Tor Diversity Project <info@torbsd.org>
All Rights Reserved.

Released under an ISC license; see the GitHub repository
for details at https://github.com/torbsd/tdp-onion-stats/
